device_id,location,timestamp,arrival_time,reading_value,event_type,z_score,anomaly
DEV004,Nagpur,2026-08-01 00:00:00,2026-08-01 00:00:00,30.01,NORMAL,-0.09751837424200632,NO
DEV001,Pune,2026-08-01 00:01:00,2026-08-01 00:01:00,30.55,NORMAL,-0.026674158977135827,NO
DEV001,Pune,2026-08-01 00:02:00,2026-08-01 00:02:00,28.25,NORMAL,-0.32841803880899223,NO
DEV002,Mumbai,2026-08-01 00:03:00,2026-08-01 00:03:00,30.81,NORMAL,0.007436018742986797,NO
DEV001,Pune,2026-08-01 00:04:00,2026-08-01 00:04:00,30.86,NORMAL,0.013995668304548984,NO
DEV004,Nagpur,2026-08-01 00:05:00,2026-08-01 00:05:00,36.03,NORMAL,0.6922634329700696,NO
DEV001,Pune,2026-08-01 00:06:00,2026-08-01 00:06:00,23.82,NORMAL,-0.9096029899633936,NO
DEV004,Nagpur,2026-08-01 00:07:00,2026-08-01 00:07:00,27.51,NORMAL,-0.425500852320111,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:08:00,2026-08-01 00:08:00,33.98,NORMAL,0.4233178009460233,NO
DEV001,Pune,2026-08-01 00:09:00,2026-08-01 00:09:00,35.66,NORMAL,0.6437220262145096,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:10:00,2026-08-01 00:10:00,37.46,NORMAL,0.8798694104307455,NO
DEV002,Mumbai,2026-08-01 00:11:00,2026-08-01 00:11:00,23.41,NORMAL,-0.9633921163682029,NO
DEV001,Pune,2026-08-01 00:12:00,2026-08-01 00:12:00,28.45,NORMAL,-0.30217944056274393,NO
DEV001,Pune,2026-08-01 00:13:00,2026-08-01 00:13:00,30.6,NORMAL,-0.02011450941557364,NO
DEV004,Nagpur,2026-08-01 00:14:00,2026-08-01 00:14:00,26.98,NORMAL,-0.4950331376726693,NO
DEV004,Nagpur,2026-08-01 00:15:00,2026-08-01 00:15:00,25.8,NORMAL,-0.6498408673255347,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:16:00,2026-08-01 00:16:00,25.85,NORMAL,-0.6432812177639725,NO
DEV003,Nashik,2026-08-01 00:17:00,2026-08-01 00:17:00,28.0,NORMAL,-0.36121628661680266,NO
DEV004,Nagpur,2026-08-01 00:18:00,2026-08-01 00:18:00,23.65,NORMAL,-0.9319057984727049,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:19:00,2026-08-01 00:21:00,29.36,LATE,-0.18279381854231383,NO
DEV003,Nashik,2026-08-01 00:20:00,2026-08-01 00:20:00,23.54,NORMAL,-0.9463370275081415,NO
DEV003,Nashik,2026-08-01 00:21:00,2026-08-01 00:21:00,32.32,NORMAL,0.20553743550216222,NO
DEV004,Nagpur,2026-08-01 00:22:00,2026-08-01 00:22:00,33.76,NORMAL,0.3944553428751502,NO
DEV001,Pune,2026-08-01 00:23:00,2026-08-01 00:23:00,33.45,NORMAL,0.3537855155934659,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:24:00,2026-08-01 00:24:00,35.67,NORMAL,0.6450339561268227,NO
DEV002,Mumbai,2026-08-01 00:25:00,2026-08-01 00:25:00,26.52,NORMAL,-0.5553819136390407,NO
DEV003,Nashik,2026-08-01 00:26:00,2026-08-01 00:26:00,30.06,NORMAL,-0.09095872468044461,NO
DEV004,Nagpur,2026-08-01 00:27:00,2026-08-01 00:27:00,30.51,NORMAL,-0.03192187862638539,NO
DEV001,Pune,2026-08-01 00:28:00,2026-08-01 00:28:00,29.47,NORMAL,-0.1683625895068773,NO
DEV002,Mumbai,2026-08-01 00:29:00,2026-08-01 00:29:00,25.71,NORMAL,-0.6616482365363464,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:30:00,2026-08-01 00:30:00,24.24,NORMAL,-0.8545019336462724,NO
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:31:00,2026-08-01 00:31:00,36.18,NORMAL,0.7119423816547558,NO
DEV001,Pune,2026-08-01 00:32:00,2026-08-01 00:32:00,35.03,NORMAL,0.5610704417388278,NO
DEV003,Nashik,2026-08-01 00:13:00,2026-08-01 00:33:00,31.03,BACKDATED,0.03629847681386032,NO
DEV002,Mumbai,2026-08-01 00:34:00,2026-08-01 00:34:00,35.64,NORMAL,0.6410981663898853,NO
DEV004,Nagpur,2026-08-01 00:35:00,2026-08-01 00:35:00,23.34,NORMAL,-0.9725756257543898,NO
DEV001,Pune,2026-08-01 00:36:00,2026-08-01 00:36:00,24.79,NORMAL,-0.7823457884690892,NO
