device_id,location,timestamp,arrival_time,reading_value,event_type
DEV004,Nagpur,2026-08-01 00:00:00,2026-08-01 00:00:00,30.01,NORMAL
DEV001,Pune,2026-08-01 00:01:00,2026-08-01 00:01:00,30.55,NORMAL
DEV001,Pune,2026-08-01 00:02:00,2026-08-01 00:02:00,28.25,NORMAL
DEV002,Mumbai,2026-08-01 00:03:00,2026-08-01 00:03:00,30.81,NORMAL
DEV001,Pune,2026-08-01 00:04:00,2026-08-01 00:04:00,30.86,NORMAL
DEV004,Nagpur,2026-08-01 00:05:00,2026-08-01 00:05:00,36.03,NORMAL
DEV001,Pune,2026-08-01 00:06:00,2026-08-01 00:06:00,23.82,NORMAL
DEV004,Nagpur,2026-08-01 00:07:00,2026-08-01 00:07:00,27.51,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:08:00,2026-08-01 00:08:00,33.98,NORMAL
DEV001,Pune,2026-08-01 00:09:00,2026-08-01 00:09:00,35.66,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:10:00,2026-08-01 00:10:00,37.46,NORMAL
DEV002,Mumbai,2026-08-01 00:11:00,2026-08-01 00:11:00,23.41,NORMAL
DEV001,Pune,2026-08-01 00:12:00,2026-08-01 00:12:00,28.45,NORMAL
DEV001,Pune,2026-08-01 00:13:00,2026-08-01 00:13:00,30.6,NORMAL
DEV004,Nagpur,2026-08-01 00:14:00,2026-08-01 00:14:00,26.98,NORMAL
DEV004,Nagpur,2026-08-01 00:15:00,2026-08-01 00:15:00,25.8,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:16:00,2026-08-01 00:16:00,25.85,NORMAL
DEV003,Nashik,2026-08-01 00:17:00,2026-08-01 00:17:00,28.0,NORMAL
DEV004,Nagpur,2026-08-01 00:18:00,2026-08-01 00:18:00,23.65,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:19:00,2026-08-01 00:21:00,29.36,LATE
DEV003,Nashik,2026-08-01 00:20:00,2026-08-01 00:20:00,23.54,NORMAL
DEV003,Nashik,2026-08-01 00:21:00,2026-08-01 00:21:00,32.32,NORMAL
DEV004,Nagpur,2026-08-01 00:22:00,2026-08-01 00:22:00,33.76,NORMAL
DEV001,Pune,2026-08-01 00:23:00,2026-08-01 00:23:00,33.45,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:24:00,2026-08-01 00:24:00,35.67,NORMAL
DEV002,Mumbai,2026-08-01 00:25:00,2026-08-01 00:25:00,26.52,NORMAL
DEV003,Nashik,2026-08-01 00:26:00,2026-08-01 00:26:00,30.06,NORMAL
DEV004,Nagpur,2026-08-01 00:27:00,2026-08-01 00:27:00,30.51,NORMAL
DEV001,Pune,2026-08-01 00:28:00,2026-08-01 00:28:00,29.47,NORMAL
DEV002,Mumbai,2026-08-01 00:29:00,2026-08-01 00:29:00,25.71,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:30:00,2026-08-01 00:30:00,24.24,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:31:00,2026-08-01 00:31:00,36.18,NORMAL
DEV001,Pune,2026-08-01 00:32:00,2026-08-01 00:32:00,35.03,NORMAL
DEV003,Nashik,2026-08-01 00:13:00,2026-08-01 00:33:00,31.03,BACKDATED
DEV002,Mumbai,2026-08-01 00:34:00,2026-08-01 00:34:00,35.64,NORMAL
DEV004,Nagpur,2026-08-01 00:35:00,2026-08-01 00:35:00,23.34,NORMAL
DEV001,Pune,2026-08-01 00:36:00,2026-08-01 00:36:00,24.79,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:37:00,2026-08-01 00:37:00,25.98,NORMAL
DEV002,Mumbai,2026-08-01 00:38:00,2026-08-01 00:38:00,25.18,NORMAL
DEV001,Pune,2026-08-01 00:39:00,2026-08-01 00:39:00,28.49,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:40:00,2026-08-01 00:40:00,26.84,NORMAL
DEV002,Mumbai,2026-08-01 00:41:00,2026-08-01 00:41:00,26.81,NORMAL
DEV001,Pune,2026-08-01 00:42:00,2026-08-01 00:42:00,37.02,NORMAL
DEV004,Nagpur,2026-08-01 00:43:00,2026-08-01 00:43:00,25.96,NORMAL
DEV003,Nashik,2026-08-01 00:44:00,2026-08-01 00:44:00,32.06,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:45:00,2026-08-01 00:45:00,31.33,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:46:00,2026-08-01 00:46:00,25.43,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:47:00,2026-08-01 00:47:00,30.44,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:48:00,2026-08-01 00:48:00,35.72,NORMAL
DEV002,Mumbai,2026-08-01 00:49:00,2026-08-01 00:49:00,36.76,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:50:00,2026-08-01 01:00:00,37.38,LATE
DEV004,Nagpur,2026-08-01 00:51:00,2026-08-01 00:51:00,28.21,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:52:00,2026-08-01 01:01:00,32.29,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:53:00,2026-08-01 00:53:00,32.59,NORMAL
DEV004,Nagpur,2026-08-01 00:54:00,2026-08-01 00:54:00,35.54,NORMAL
DEV003,Nashik,2026-08-01 00:55:00,2026-08-01 00:55:00,24.5,NORMAL
DEV003,Nashik,2026-08-01 00:56:00,2026-08-01 00:56:00,35.62,NORMAL
DEV002,Mumbai,2026-08-01 00:57:00,2026-08-01 00:57:00,22.45,NORMAL
DEV001,Pune,2026-08-01 00:58:00,2026-08-01 00:58:00,25.18,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 00:59:00,2026-08-01 00:59:00,25.58,NORMAL
DEV003,Nashik,2026-08-01 01:00:00,2026-08-01 01:00:00,30.84,NORMAL
DEV004,Nagpur,2026-08-01 00:31:00,2026-08-01 01:01:00,22.15,BACKDATED
DEV002,Mumbai,2026-08-01 01:02:00,2026-08-01 01:02:00,31.86,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:03:00,2026-08-01 01:03:00,28.43,NORMAL
DEV003,Nashik,2026-08-01 01:04:00,2026-08-01 01:04:00,37.79,NORMAL
DEV003,Nashik,2026-08-01 01:05:00,2026-08-01 01:05:00,23.68,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:06:00,2026-08-01 01:06:00,30.65,NORMAL
DEV004,Nagpur,2026-08-01 01:07:00,2026-08-01 01:07:00,29.43,NORMAL
DEV002,Mumbai,2026-08-01 01:08:00,2026-08-01 01:08:00,25.19,NORMAL
DEV001,Pune,2026-08-01 01:09:00,2026-08-01 01:09:00,34.29,NORMAL
DEV003,Nashik,2026-08-01 01:10:00,2026-08-01 01:10:00,32.42,NORMAL
DEV004,Nagpur,2026-08-01 01:11:00,2026-08-01 01:11:00,22.44,NORMAL
DEV003,Nashik,2026-08-01 01:12:00,2026-08-01 01:12:00,28.38,NORMAL
DEV003,Nashik,2026-08-01 01:13:00,2026-08-01 01:13:00,34.26,NORMAL
DEV002,Mumbai,2026-08-01 01:14:00,2026-08-01 01:14:00,37.04,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:15:00,2026-08-01 01:15:00,27.28,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:16:00,2026-08-01 01:16:00,27.82,NORMAL
DEV004,Nagpur,2026-08-01 01:17:00,2026-08-01 01:17:00,27.27,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:18:00,2026-08-01 01:20:00,25.62,LATE
DEV002,Mumbai,2026-08-01 01:19:00,2026-08-01 01:19:00,24.14,NORMAL
DEV004,Nagpur,2026-08-01 01:20:00,2026-08-01 01:20:00,30.44,NORMAL
DEV004,Nagpur,2026-08-01 01:21:00,2026-08-01 01:21:00,27.25,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:22:00,2026-08-01 01:22:00,35.91,NORMAL
DEV004,Nagpur,2026-08-01 01:23:00,2026-08-01 01:23:00,30.27,NORMAL
DEV004,Nagpur,2026-08-01 01:24:00,2026-08-01 01:24:00,33.74,NORMAL
DEV002,Mumbai,2026-08-01 01:25:00,2026-08-01 01:25:00,24.56,NORMAL
DEV003,Nashik,2026-08-01 01:26:00,2026-08-01 01:26:00,22.76,NORMAL
DEV001,Pune,2026-08-01 01:27:00,2026-08-01 01:27:00,28.98,NORMAL
DEV004,Nagpur,2026-08-01 01:28:00,2026-08-01 01:28:00,22.74,NORMAL
DEV001,Pune,2026-08-01 01:29:00,2026-08-01 01:29:00,37.47,NORMAL
DEV004,Nagpur,2026-08-01 01:10:00,2026-08-01 01:30:00,28.5,BACKDATED
DEV002,Mumbai,2026-08-01 01:31:00,2026-08-01 01:31:00,23.89,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:32:00,2026-08-01 01:32:00,34.06,NORMAL
DEV002,Mumbai,2026-08-01 01:33:00,2026-08-01 01:33:00,36.57,NORMAL
DEV001,Pune,2026-08-01 01:34:00,2026-08-01 01:34:00,29.24,NORMAL
DEV001,Pune,2026-08-01 01:35:00,2026-08-01 01:35:00,28.05,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:36:00,2026-08-01 01:36:00,25.4,NORMAL
DEV001,Pune,2026-08-01 01:08:00,2026-08-01 01:37:00,29.0,BACKDATED
DEV003,Nashik,2026-08-01 01:38:00,2026-08-01 01:38:00,25.37,NORMAL
DEV001,Pune,2026-08-01 01:39:00,2026-08-01 01:39:00,33.38,NORMAL
DEV002,Mumbai,2026-08-01 01:40:00,2026-08-01 01:40:00,27.14,NORMAL
DEV002,Mumbai,2026-08-01 01:41:00,2026-08-01 01:41:00,26.88,NORMAL
DEV004,Nagpur,2026-08-01 01:42:00,2026-08-01 01:42:00,36.41,NORMAL
DEV003,Nashik,2026-08-01 01:43:00,2026-08-01 01:43:00,36.0,NORMAL
DEV003,Nashik,2026-08-01 01:44:00,2026-08-01 01:44:00,31.82,NORMAL
DEV001,Pune,2026-08-01 01:45:00,2026-08-01 01:45:00,29.41,NORMAL
DEV002,Mumbai,2026-08-01 01:46:00,2026-08-01 01:46:00,36.22,NORMAL
DEV002,Mumbai,2026-08-01 01:47:00,2026-08-01 01:47:00,32.85,NORMAL
DEV003,Nashik,2026-08-01 01:48:00,2026-08-01 01:48:00,32.96,NORMAL
DEV003,Nashik,2026-08-01 01:49:00,2026-08-01 01:49:00,31.86,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:50:00,2026-08-01 01:53:00,36.66,LATE
DEV002,Mumbai,2026-08-01 01:51:00,2026-08-01 01:51:00,30.18,NORMAL
DEV003,Nashik,2026-08-01 01:52:00,2026-08-01 01:52:00,34.63,NORMAL
DEV004,Nagpur,2026-08-01 01:53:00,2026-08-01 01:53:00,31.8,NORMAL
DEV002,Mumbai,2026-08-01 01:54:00,2026-08-01 01:54:00,22.98,NORMAL
DEV001,Pune,2026-08-01 01:55:00,2026-08-01 01:55:00,30.48,NORMAL
DEV003,Nashik,2026-08-01 01:56:00,2026-08-01 01:56:00,32.38,NORMAL
DEV002,Mumbai,2026-08-01 01:57:00,2026-08-01 01:57:00,36.25,NORMAL
DEV001,Pune,2026-08-01 01:58:00,2026-08-01 01:58:00,24.85,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 01:59:00,2026-08-01 01:59:00,25.16,NORMAL
DEV001,Pune,2026-08-01 01:41:00,2026-08-01 02:00:00,35.84,BACKDATED
DEV001,Pune,2026-08-01 02:01:00,2026-08-01 02:01:00,36.33,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:02:00,2026-08-01 02:02:00,28.89,NORMAL
DEV001,Pune,2026-08-01 02:03:00,2026-08-01 02:03:00,23.66,NORMAL
DEV001,Pune,2026-08-01 02:04:00,2026-08-01 02:04:00,31.64,NORMAL
DEV001,Pune,2026-08-01 02:05:00,2026-08-01 02:05:00,29.37,NORMAL
DEV003,Nashik,2026-08-01 02:06:00,2026-08-01 02:06:00,31.5,NORMAL
DEV002,Mumbai,2026-08-01 02:07:00,2026-08-01 02:07:00,24.66,NORMAL
DEV003,Nashik,2026-08-01 02:08:00,2026-08-01 02:08:00,30.62,NORMAL
DEV004,Nagpur,2026-08-01 02:09:00,2026-08-01 02:09:00,37.52,NORMAL
DEV001,Pune,2026-08-01 02:10:00,2026-08-01 02:10:00,34.88,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:11:00,2026-08-01 02:11:00,31.73,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:12:00,2026-08-01 02:12:00,35.56,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:13:00,2026-08-01 02:13:00,79.79,SENSOR_ANOMALY
DEV002,Mumbai,2026-08-01 02:14:00,2026-08-01 02:14:00,28.61,NORMAL
DEV002,Mumbai,2026-08-01 02:15:00,2026-08-01 02:15:00,30.48,NORMAL
DEV002,Mumbai,2026-08-01 02:16:00,2026-08-01 02:16:00,27.39,NORMAL
DEV002,Mumbai,2026-08-01 02:17:00,2026-08-01 02:25:00,34.29,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:18:00,2026-08-01 02:18:00,37.65,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:19:00,2026-08-01 02:19:00,35.19,NORMAL
DEV002,Mumbai,2026-08-01 02:20:00,2026-08-01 02:20:00,35.38,NORMAL
DEV002,Mumbai,2026-08-01 02:21:00,2026-08-01 02:21:00,26.39,NORMAL
DEV001,Pune,2026-08-01 02:22:00,2026-08-01 02:30:00,28.19,LATE
DEV003,Nashik,2026-08-01 02:23:00,2026-08-01 02:23:00,28.68,NORMAL
DEV003,Nashik,2026-08-01 02:24:00,2026-08-01 02:24:00,30.27,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:25:00,2026-08-01 02:28:00,27.03,LATE
DEV002,Mumbai,2026-08-01 02:26:00,2026-08-01 02:26:00,27.52,NORMAL
DEV002,Mumbai,2026-08-01 02:27:00,2026-08-01 02:27:00,25.84,NORMAL
DEV003,Nashik,2026-08-01 02:28:00,2026-08-01 02:28:00,23.02,NORMAL
DEV004,Nagpur,2026-08-01 02:29:00,2026-08-01 02:29:00,23.32,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:30:00,2026-08-01 02:30:00,32.7,NORMAL
DEV004,Nagpur,2026-08-01 02:31:00,2026-08-01 02:31:00,34.08,NORMAL
DEV004,Nagpur,2026-08-01 02:32:00,2026-08-01 02:34:00,24.56,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:33:00,2026-08-01 02:40:00,25.56,LATE
DEV001,Pune,2026-08-01 02:34:00,2026-08-01 02:34:00,24.07,NORMAL
DEV004,Nagpur,2026-08-01 02:35:00,2026-08-01 02:35:00,25.86,NORMAL
DEV004,Nagpur,2026-08-01 02:36:00,2026-08-01 02:36:00,27.49,NORMAL
DEV001,Pune,2026-08-01 02:37:00,2026-08-01 02:37:00,32.51,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:38:00,2026-08-01 02:38:00,34.69,NORMAL
DEV003,Nashik,2026-08-01 02:39:00,2026-08-01 02:47:00,23.57,LATE
DEV002,Mumbai,2026-08-01 02:40:00,2026-08-01 02:40:00,25.03,NORMAL
DEV002,Mumbai,2026-08-01 02:41:00,2026-08-01 02:41:00,28.55,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:42:00,2026-08-01 02:42:00,31.52,NORMAL
DEV003,Nashik,2026-08-01 02:43:00,2026-08-01 02:43:00,24.85,NORMAL
DEV004,Nagpur,2026-08-01 02:44:00,2026-08-01 02:44:00,32.67,NORMAL
DEV004,Nagpur,2026-08-01 02:45:00,2026-08-01 02:48:00,32.04,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:46:00,2026-08-01 02:46:00,26.8,NORMAL
DEV004,Nagpur,2026-08-01 02:47:00,2026-08-01 02:47:00,28.3,NORMAL
DEV002,Mumbai,2026-08-01 02:48:00,2026-08-01 02:48:00,33.54,NORMAL
DEV001,Pune,2026-08-01 02:49:00,2026-08-01 02:49:00,29.95,NORMAL
DEV001,Pune,2026-08-01 02:50:00,2026-08-01 02:50:00,27.65,NORMAL
DEV001,Pune,2026-08-01 02:51:00,2026-08-01 02:51:00,28.91,NORMAL
DEV004,Nagpur,2026-08-01 02:52:00,2026-08-01 02:52:00,33.68,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:53:00,2026-08-01 02:53:00,29.68,NORMAL
DEV003,Nashik,2026-08-01 02:54:00,2026-08-01 02:54:00,28.56,NORMAL
DEV001,Pune,2026-08-01 02:55:00,2026-08-01 02:55:00,25.73,NORMAL
DEV004,Nagpur,2026-08-01 02:56:00,2026-08-01 02:56:00,26.49,NORMAL
DEV004,Nagpur,2026-08-01 02:57:00,2026-08-01 03:02:00,35.57,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 02:58:00,2026-08-01 02:58:00,23.57,NORMAL
DEV004,Nagpur,2026-08-01 02:59:00,2026-08-01 02:59:00,32.15,NORMAL
DEV001,Pune,2026-08-01 03:00:00,2026-08-01 03:00:00,29.13,NORMAL
DEV001,Pune,2026-08-01 03:01:00,2026-08-01 03:01:00,30.58,NORMAL
DEV004,Nagpur,2026-08-01 03:02:00,2026-08-01 03:02:00,27.37,NORMAL
DEV004,Nagpur,2026-08-01 03:03:00,2026-08-01 03:03:00,26.4,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:04:00,2026-08-01 03:04:00,24.11,NORMAL
DEV003,Nashik,2026-08-01 03:05:00,2026-08-01 03:05:00,36.74,NORMAL
DEV003,Nashik,2026-08-01 03:06:00,2026-08-01 03:06:00,31.61,NORMAL
DEV004,Nagpur,2026-08-01 03:07:00,2026-08-01 03:07:00,28.4,NORMAL
DEV004,Nagpur,2026-08-01 03:08:00,2026-08-01 03:08:00,32.82,NORMAL
DEV001,Pune,2026-08-01 03:09:00,2026-08-01 03:09:00,24.25,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:10:00,2026-08-01 03:10:00,26.71,NORMAL
DEV003,Nashik,2026-08-01 03:11:00,2026-08-01 03:11:00,26.01,NORMAL
DEV001,Pune,2026-08-01 03:12:00,2026-08-01 03:12:00,30.16,NORMAL
DEV003,Nashik,2026-08-01 03:13:00,2026-08-01 03:13:00,24.39,NORMAL
DEV003,Nashik,2026-08-01 03:14:00,2026-08-01 03:14:00,35.99,NORMAL
DEV002,Mumbai,2026-08-01 03:15:00,2026-08-01 03:15:00,34.41,NORMAL
DEV004,Nagpur,2026-08-01 03:16:00,2026-08-01 03:16:00,30.94,NORMAL
DEV004,Nagpur,2026-08-01 03:17:00,2026-08-01 03:17:00,30.19,NORMAL
DEV004,Nagpur,2026-08-01 03:18:00,2026-08-01 03:18:00,29.11,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:19:00,2026-08-01 03:19:00,22.25,NORMAL
DEV003,Nashik,2026-08-01 03:20:00,2026-08-01 03:20:00,35.36,NORMAL
DEV004,Nagpur,2026-08-01 03:21:00,2026-08-01 03:21:00,33.14,NORMAL
DEV002,Mumbai,2026-08-01 03:22:00,2026-08-01 03:22:00,31.4,NORMAL
DEV002,Mumbai,2026-08-01 03:23:00,2026-08-01 03:23:00,32.21,NORMAL
DEV001,Pune,2026-08-01 03:24:00,2026-08-01 03:24:00,25.06,NORMAL
DEV001,Pune,2026-08-01 03:25:00,2026-08-01 03:25:00,35.04,NORMAL
DEV003,Nashik,2026-08-01 03:26:00,2026-08-01 03:26:00,25.79,NORMAL
DEV003,Nashik,2026-08-01 03:27:00,2026-08-01 03:27:00,27.36,NORMAL
DEV002,Mumbai,2026-08-01 03:28:00,2026-08-01 03:28:00,33.1,NORMAL
DEV003,Nashik,2026-08-01 03:29:00,2026-08-01 03:29:00,32.31,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:23:00,2026-08-01 03:30:00,35.13,BACKDATED
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:31:00,2026-08-01 03:31:00,28.36,NORMAL
DEV003,Nashik,2026-08-01 03:32:00,2026-08-01 03:32:00,27.49,NORMAL
DEV002,Mumbai,2026-08-01 03:33:00,2026-08-01 03:33:00,36.44,NORMAL
DEV001,Pune,2026-08-01 03:34:00,2026-08-01 03:34:00,34.31,NORMAL
DEV002,Mumbai,2026-08-01 03:35:00,2026-08-01 03:35:00,22.95,NORMAL
DEV004,Nagpur,2026-08-01 03:36:00,2026-08-01 03:36:00,34.6,NORMAL
DEV004,Nagpur,2026-08-01 03:37:00,2026-08-01 03:37:00,30.77,NORMAL
DEV004,Nagpur,2026-08-01 03:38:00,2026-08-01 03:38:00,34.17,NORMAL
DEV002,Mumbai,2026-08-01 03:39:00,2026-08-01 03:39:00,34.14,NORMAL
DEV004,Nagpur,2026-08-01 03:40:00,2026-08-01 03:40:00,31.18,NORMAL
DEV001,Pune,2026-08-01 03:41:00,2026-08-01 03:41:00,37.85,NORMAL
DEV003,Nashik,2026-08-01 03:42:00,2026-08-01 03:42:00,34.57,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:43:00,2026-08-01 03:43:00,26.38,NORMAL
DEV003,Nashik,2026-08-01 03:44:00,2026-08-01 03:44:00,32.17,NORMAL
DEV002,Mumbai,2026-08-01 03:45:00,2026-08-01 03:45:00,26.75,NORMAL
DEV003,Nashik,2026-08-01 03:46:00,2026-08-01 03:46:00,23.9,NORMAL
DEV004,Nagpur,2026-08-01 03:47:00,2026-08-01 03:47:00,25.03,NORMAL
DEV002,Mumbai,2026-08-01 03:48:00,2026-08-01 03:48:00,27.8,NORMAL
DEV001,Pune,2026-08-01 03:49:00,2026-08-01 03:49:00,33.42,NORMAL
DEV004,Nagpur,2026-08-01 03:50:00,2026-08-01 03:50:00,26.6,NORMAL
DEV001,Pune,2026-08-01 03:51:00,2026-08-01 03:51:00,37.41,NORMAL
DEV001,Pune,2026-08-01 03:52:00,2026-08-01 03:52:00,29.25,NORMAL
DEV001,Pune,2026-08-01 03:53:00,2026-08-01 03:56:00,35.89,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:54:00,2026-08-01 03:54:00,29.41,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:55:00,2026-08-01 04:03:00,35.88,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 03:56:00,2026-08-01 03:56:00,33.73,NORMAL
DEV004,Nagpur,2026-08-01 03:57:00,2026-08-01 03:57:00,26.69,NORMAL
DEV002,Mumbai,2026-08-01 03:58:00,2026-08-01 03:58:00,32.08,NORMAL
DEV002,Mumbai,2026-08-01 03:59:00,2026-08-01 03:59:00,25.39,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 04:00:00,2026-08-01 04:00:00,28.12,NORMAL
DEV004,Nagpur,2026-08-01 04:01:00,2026-08-01 04:01:00,23.18,NORMAL
DEV003,Nashik,2026-08-01 04:02:00,2026-08-01 04:04:00,37.43,LATE
DEV005,Chhatrapati Sambhajinagar,2026-08-01 04:03:00,2026-08-01 04:03:00,32.66,NORMAL
DEV002,Mumbai,2026-08-01 04:04:00,2026-08-01 04:04:00,36.43,NORMAL
DEV003,Nashik,2026-08-01 04:05:00,2026-08-01 04:05:00,33.17,NORMAL
DEV004,Nagpur,2026-08-01 04:06:00,2026-08-01 04:06:00,33.87,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 04:07:00,2026-08-01 04:07:00,22.47,NORMAL
DEV001,Pune,2026-08-01 04:08:00,2026-08-01 04:08:00,29.37,NORMAL
DEV005,Chhatrapati Sambhajinagar,2026-08-01 04:09:00,2026-08-01 04:09:00,22.93,NORMAL
DEV002,Mumbai,2026-08-01 04:10:00,2026-08-01 04:17:00,34.8,LATE
DEV001,Pune,2026-08-01 04:11:00,2026-08-01 04:11:00,37.69,NORMAL
DEV002,Mumbai,2026-08-01 04:12:00,2026-08-01 04:12:00,24.02,NORMAL
