query,group,pattern,json_median_ms,json_p25_ms,json_p75_ms,jsonb_median_ms,jsonb_p25_ms,jsonb_p75_ms,jsonb_over_json,faster_median,iqr_overlap,relative_difference,measurable_batch1,json_median_ms_batch2,jsonb_median_ms_batch2,jsonb_over_json_batch2,faster_median_batch2,measurable_batch2,below_0_1_ms,execution_result,json_plan_median_ms,jsonb_plan_median_ms,planning_result,plan_shape_json,plan_shape_jsonb,same_plan_shape,scan_est_rows,actual_rows_json,actual_rows_jsonb,expected_rows,rows_ok,shared_hit_json,shared_hit_jsonb,shared_read_json,shared_read_jsonb,output_kb_json,output_kb_jsonb,detail_serialization_ms_json,detail_serialization_ms_jsonb
Q01,Q01,"point lookup, whole document",0.012,0.011,0.014,0.03,0.028,0.032,2.5,json,False,0.6,True,0.011,0.028,2.545,json,True,True,measurable: json faster,0.024,0.025,no measurable difference,Index Scan using T_pkey,Index Scan using T_pkey,True,1 / 1,1,1,1,True,3,3,0,0,2,2,0.001,0.017
Q02,Q02,all whole documents (output serialisation),2.956,2.798,3.12,68.709,66.592,70.051,23.244,json,False,0.957,True,3.18,71.79,22.575,json,True,False,measurable: json faster,0.029,0.032,no measurable difference,Seq Scan on T,Seq Scan on T,True,5000 / 5000,5000,5000,5000,True,1250,981,0,0,8249,8986,1.87,67.379
Q03,Q03,"point lookup, one nested value",0.035,0.033,0.037,0.017,0.016,0.018,0.486,jsonb,False,0.514,True,0.04,0.019,0.475,jsonb,True,True,measurable: jsonb faster,0.026,0.025,no measurable difference,Index Scan using T_pkey,Index Scan using T_pkey,True,1 / 1,1,1,1,True,3,3,0,0,1,1,0.001,0.001
Q04,Q04,"one nested scalar, all rows",57.813,56.075,61.155,11.134,10.974,11.593,0.193,jsonb,False,0.807,True,63.515,12.072,0.19,jsonb,True,False,measurable: jsonb faster,0.029,0.031,no measurable difference,Seq Scan on T,Seq Scan on T,True,5000 / 5000,5000,5000,5000,True,1250,981,0,0,93,93,0.55,0.474
Q05,Q05,ten nested scalars per row,1069.889,1046.866,1077.83,81.888,80.127,85.197,0.077,jsonb,False,0.923,True,1107.349,94.473,0.085,jsonb,True,False,measurable: jsonb faster,0.05,0.048,no measurable difference,Seq Scan on T,Seq Scan on T,True,5000 / 5000,5000,5000,5000,True,1250,981,0,0,1047,1047,3.72,2.987
Q06,Q06,"all 70 leaves per row, cast back to column types",7413.235,7280.983,7906.262,592.191,578.843,623.463,0.08,jsonb,False,0.92,True,7494.955,613.074,0.082,jsonb,True,False,measurable: jsonb faster,0.152,0.151,no measurable difference,Seq Scan on T,Seq Scan on T,True,5000 / 5000,5000,5000,5000,True,1250,981,0,0,3796,3796,27.34,21.295
Q07,Q07,"equality, very selective",56.655,55.694,60.711,10.253,10.167,10.489,0.181,jsonb,False,0.819,True,85.785,17.583,0.205,jsonb,True,False,measurable: jsonb faster,0.028,0.03,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,12,12,12,True,1250,981,0,0,1,1,0.004,0.002
Q08,Q08,"equality, medium",104.752,102.436,106.343,10.7,10.568,11.32,0.102,jsonb,False,0.898,True,144.373,16.226,0.112,jsonb,True,False,measurable: jsonb faster,0.031,0.043,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,225,225,225,True,1250,981,0,0,3,3,0.03,0.017
Q09,Q09,"equality, broad",57.653,56.925,59.753,10.671,10.434,10.878,0.185,jsonb,False,0.815,True,75.506,13.917,0.184,jsonb,True,False,measurable: jsonb faster,0.03,0.031,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,1528,1528,1528,True,1250,981,0,0,15,15,0.118,0.115
Q10,Q10,integer equality,110.982,105.504,122.113,11.341,10.963,12.475,0.102,jsonb,False,0.898,True,118.12,12.193,0.103,jsonb,True,False,measurable: jsonb faster,0.042,0.044,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,30,30,30,True,1250,981,0,0,1,1,0.008,0.003
Q11a,Q11,"numeric range, medium",119.987,117.569,132.124,13.669,13.433,13.868,0.114,jsonb,False,0.886,True,176.349,20.899,0.119,jsonb,True,False,measurable: jsonb faster,0.046,0.045,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,422,422,422,True,1250,981,0,0,5,5,0.068,0.028
Q11b,Q11,"numeric range, broad",184.372,174.735,187.566,20.101,19.649,21.969,0.109,jsonb,False,0.891,True,195.531,21.446,0.11,jsonb,True,False,measurable: jsonb faster,0.049,0.052,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,3064,3064,3064,True,1250,981,0,0,30,30,0.531,0.271
Q12a,Q12,"time window, 1 day (string range)",155.207,150.885,159.728,15.66,14.982,16.372,0.101,jsonb,False,0.899,True,161.201,16.592,0.103,jsonb,True,False,measurable: jsonb faster,0.046,0.047,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,13,13,13,True,1250,981,0,0,1,1,0.01,0.002
Q12b,Q12,"time window, 1 week (string range)",154.69,149.117,157.772,15.28,14.984,16.731,0.099,jsonb,False,0.901,True,163.746,16.371,0.1,jsonb,True,False,measurable: jsonb faster,0.037,0.045,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,108,108,108,True,1250,981,0,0,2,2,0.024,0.01
Q12c,Q12,"time window, 1 month (string range)",156.042,148.874,166.1,14.975,14.73,15.34,0.096,jsonb,False,0.904,True,161.267,16.544,0.103,jsonb,True,False,measurable: jsonb faster,0.043,0.04,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,498,498,498,True,1250,981,0,0,5,5,0.077,0.038
Q13a,Q13,"pattern, suffix",106.807,101.007,109.243,11.548,11.305,12.336,0.108,jsonb,False,0.892,True,127.487,12.879,0.101,jsonb,True,False,measurable: jsonb faster,0.039,0.039,no measurable difference,Seq Scan on T,Seq Scan on T,True,8 / 8,545,545,545,True,1250,981,0,0,6,6,0.055,0.037
Q13b,Q13,"pattern, prefix",104.854,103.949,107.177,11.415,10.914,13.261,0.109,jsonb,False,0.891,True,113.373,12.395,0.109,jsonb,True,False,measurable: jsonb faster,0.042,0.037,no measurable difference,Seq Scan on T,Seq Scan on T,True,25 / 25,173,173,173,True,1250,981,0,0,2,2,0.023,0.015
Q14,Q14,array membership (equivalent array function per type),64.069,63.26,66.275,13.242,12.962,13.519,0.207,jsonb,False,0.793,True,67.298,14.12,0.21,jsonb,True,False,measurable: jsonb faster,0.044,0.046,no measurable difference,Seq Scan on T [Function Scan <type>_array_elements_text],Seq Scan on T [Function Scan <type>_array_elements_text],True,2500 / 2500,3,3,3,True,1250,981,0,0,1,1,0.002,0.001
Q15,Q15,JSON null test,106.269,105.584,112.348,11.869,11.388,13.291,0.112,jsonb,False,0.888,True,121.574,12.618,0.104,jsonb,True,False,measurable: jsonb faster,0.036,0.039,no measurable difference,Seq Scan on T,Seq Scan on T,True,4975 / 4975,2941,2941,2941,True,1250,981,0,0,29,29,0.37,0.244
Q16,Q16,conjunction,76.968,75.502,82.114,12.145,11.845,12.551,0.158,jsonb,False,0.842,True,83.156,13.053,0.157,jsonb,True,False,measurable: jsonb faster,0.037,0.043,no measurable difference,Seq Scan on T,Seq Scan on T,True,1 / 1,78,78,,True,1250,981,0,0,1,1,0.016,0.008
Q17,Q17,group by nested text,105.029,102.136,117.41,11.596,11.385,12.499,0.11,jsonb,False,0.89,True,112.962,13.422,0.119,jsonb,True,False,measurable: jsonb faster,0.038,0.051,no measurable difference,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],True,5000 / 5000,8,8,8,True,1250,981,0,0,1,1,0.004,0.004
Q18,Q18,group by two nested values,220.851,213.23,226.248,20.256,19.882,21.548,0.092,jsonb,False,0.908,True,225.855,21.206,0.094,jsonb,True,False,measurable: jsonb faster,0.051,0.055,no measurable difference,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],True,5000 / 5000,32,32,,True,1250,981,0,0,1,1,0.008,0.007
