batch,query,type,phase,round,planning_ms,execution_ms,serialization_ms,output_kb,top_node,plan_shape,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,scan_rows_removed_by_filter,shared_hit_blocks,shared_read_blocks,temp_written_blocks,io_read_ms,serialization_shared_hit_blocks,planning_shared_hit_blocks,planning_memory_used_kb,jit,settings
1,Q01,json,warmup,1,1.176,0.042,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,34,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,warmup,1,0.884,0.075,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,22,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,warmup,2,0.025,0.012,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,warmup,2,0.023,0.028,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,warmup,3,0.023,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,warmup,3,0.023,0.028,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,1,0.025,0.017,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,1,0.023,0.03,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,2,0.023,0.028,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,2,0.023,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,3,0.022,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,3,0.022,0.027,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,4,0.022,0.027,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,4,0.022,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,5,0.05,0.016,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,5,0.05,0.044,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,6,0.028,0.032,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,6,0.025,0.012,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,7,0.038,0.019,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,7,0.026,0.031,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,8,0.035,0.045,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,8,0.028,0.014,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,9,0.028,0.014,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,9,0.027,0.032,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,10,0.027,0.032,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,10,0.025,0.012,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,11,0.024,0.012,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,11,0.024,0.029,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,12,0.025,0.029,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,12,0.024,0.012,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,13,0.023,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,13,0.026,0.03,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,14,0.025,0.029,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,14,0.023,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,measure,15,0.022,0.011,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,measure,15,0.022,0.027,,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,json,detail,1,0.023,0.011,0.001,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q01,jsonb,detail,1,0.022,0.028,0.017,2,Index Scan,Index Scan using T_pkey,1,1,1,1,,3,0,0,,0,0,10,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,warmup,1,0.016,5.567,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,warmup,1,0.017,67.281,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,warmup,2,0.03,2.893,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,warmup,2,0.02,71.079,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,warmup,3,0.036,3.06,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,warmup,3,0.022,73.104,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,1,0.038,3.104,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,1,0.024,63.664,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,2,0.032,68.709,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,2,0.041,3.243,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,3,0.025,3.032,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,3,0.034,68.972,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,4,0.035,71.083,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,4,0.037,3.202,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,5,0.023,3.12,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,5,0.031,68.552,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,6,0.045,72.31,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,6,0.04,3.142,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,7,0.025,2.85,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,7,0.023,71.435,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,8,0.038,66.857,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,8,0.032,2.956,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,json,measure,9,0.02,2.648,,8249,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,1250,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,9,0.023,70.044,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
1,Q02,jsonb,measure,10,0.038,66.645,,8986,Seq Scan,Seq Scan on T,5000,5000,5000,5000,,981,0,0,,0,0,7,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}"
