batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,shared_hit_blocks,shared_read_blocks,serialization_shared_hit_blocks,planning_shared_hit_blocks,planning_memory_used_kb,output_kb,plan_shape,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,scan_rows_removed_by_filter,temp_written_blocks,jit_present,settings,detail_execution_ms,detail_serialization_ms
1,Q01,json,15,0.011,0.011,0.012,0.014,0.019,0.022,0.023,0.024,0.028,0.05,3,0,0,0,10,2,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.011,0.001
1,Q01,jsonb,15,0.027,0.028,0.03,0.032,0.045,0.022,0.023,0.025,0.027,0.05,3,0,0,0,10,2,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.028,0.017
1,Q02,json,15,2.581,2.798,2.956,3.12,3.243,0.018,0.021,0.029,0.037,0.041,1250,0,0,0,7,8249,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",3.403,1.87
1,Q02,jsonb,15,60.963,66.592,68.709,70.051,72.31,0.021,0.023,0.032,0.037,0.045,981,0,0,0,7,8986,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",68.862,67.379
1,Q03,json,15,0.032,0.033,0.035,0.037,0.042,0.023,0.023,0.026,0.026,0.031,3,0,0,0,10,1,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.034,0.001
1,Q03,jsonb,15,0.015,0.016,0.017,0.018,0.019,0.023,0.023,0.025,0.027,0.037,3,0,0,0,10,1,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.016,0.001
1,Q04,json,15,55.416,56.075,57.813,61.155,61.814,0.023,0.025,0.029,0.039,0.04,1250,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",59.771,0.55
1,Q04,jsonb,15,10.516,10.974,11.134,11.593,12.803,0.021,0.022,0.031,0.036,0.039,981,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.645,0.474
1,Q05,json,15,1023.805,1046.866,1069.889,1077.83,1090.975,0.041,0.046,0.05,0.052,0.058,1250,0,0,0,16,1047,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",1043.515,3.72
1,Q05,jsonb,15,78.781,80.127,81.888,85.197,92.206,0.041,0.044,0.048,0.05,0.054,981,0,0,0,16,1047,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",78.354,2.987
