comparison,statement,pattern,index,a,b,a_median_ms,a_p25_ms,a_p75_ms,b_median_ms,b_p25_ms,b_p75_ms,b_over_a,a_median_ms_batch2,b_median_ms_batch2,result,relative_difference,iqr_overlap,below_0_1_ms,batch2_faster,batch2_measurable,planning_result,a_plan_median_ms,b_plan_median_ms,a_plan_shape,b_plan_shape,a_indexes_used,b_indexes_used,a_shared_hit,b_shared_hit,a_scan_est_rows,b_scan_est_rows,a_actual_rows,b_actual_rows,a_exact_heap_blocks,b_exact_heap_blocks,type,step6c_baseline_median_ms
"head-to-head I-0 (control, no index)",Q07,"equality, very selective",I-1a,json,jsonb,57.077,54.225,58.184,10.385,10.2,11.165,0.1819,56.596,10.49,measurable: jsonb faster,0.818,False,False,jsonb,True,no measurable difference,0.044,0.041,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,12,12,None,None,,
head-to-head I-1 (identical btree expression indexes),Q07,"equality, very selective",I-1a,json,jsonb,0.015,0.015,0.015,0.015,0.015,0.015,1.0,0.019,0.019,no measurable difference,0.0,True,True,tie,False,no measurable difference,0.041,0.04,Index Scan using T_i1a_record_validity,Index Scan using T_i1a_record_validity,T_i1a_record_validity,T_i1a_record_validity,14,14,12,12,12,12,None,None,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q07,"equality, very selective",I-1a,json,jsonb,0.017,0.016,0.022,0.017,0.016,0.022,1.0,0.016,0.016,no measurable difference,0.0,True,True,tie,False,no measurable difference,0.044,0.048,Index Scan using T_i1a_record_validity,Index Scan using T_i1a_record_validity,T_i1a_record_validity,T_i1a_record_validity,14,14,12,12,12,12,None,None,,
index effect on json: I-0 vs I-1,Q07,"equality, very selective",I-1a,I-0,I-1,57.077,54.225,58.184,0.015,0.015,0.015,0.0003,56.596,0.019,measurable: I-1 faster,1.0,False,True,I-1,True,no measurable difference,0.044,0.041,Seq Scan on T,Index Scan using T_i1a_record_validity,-,T_i1a_record_validity,1250,14,25,12,12,12,None,None,json,56.655
index effect on jsonb: I-0 vs I-1,Q07,"equality, very selective",I-1a,I-0,I-1,10.385,10.2,11.165,0.015,0.015,0.015,0.0014,10.49,0.019,measurable: I-1 faster,0.999,False,True,I-1,True,no measurable difference,0.041,0.04,Seq Scan on T,Index Scan using T_i1a_record_validity,-,T_i1a_record_validity,981,14,25,12,12,12,None,None,jsonb,10.253
"head-to-head I-0 (control, no index)",Q08,"equality, medium",I-1b,json,jsonb,100.969,99.63,103.503,10.957,10.673,11.955,0.1085,100.201,10.836,measurable: jsonb faster,0.891,False,False,jsonb,True,no measurable difference,0.043,0.04,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,225,225,None,None,,
head-to-head I-1 (identical btree expression indexes),Q08,"equality, medium",I-1b,json,jsonb,0.11,0.105,0.111,0.109,0.105,0.11,0.9909,0.11,0.11,no measurable difference,0.009,True,False,tie,False,no measurable difference,0.044,0.043,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,T_i1b_entity_type_code,207,200,225,225,225,225,205,198,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q08,"equality, medium",I-1b,json,jsonb,0.113,0.108,0.126,0.113,0.112,0.125,1.0,0.111,0.111,no measurable difference,0.0,True,False,tie,False,no measurable difference,0.044,0.044,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,T_i1b_entity_type_code,207,200,225,225,225,225,205,198,,
index effect on json: I-0 vs I-1,Q08,"equality, medium",I-1b,I-0,I-1,100.969,99.63,103.503,0.11,0.105,0.111,0.0011,100.201,0.11,measurable: I-1 faster,0.999,False,False,I-1,True,no measurable difference,0.043,0.044,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],-,T_i1b_entity_type_code,1250,207,25,225,225,225,None,205,json,104.752
index effect on jsonb: I-0 vs I-1,Q08,"equality, medium",I-1b,I-0,I-1,10.957,10.673,11.955,0.109,0.105,0.11,0.0099,10.836,0.11,measurable: I-1 faster,0.99,False,False,I-1,True,no measurable difference,0.04,0.043,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1b_entity_type_code],-,T_i1b_entity_type_code,981,200,25,225,225,225,None,198,jsonb,10.7
"head-to-head I-0 (control, no index)",Q10,integer equality,I-1c,json,jsonb,103.718,99.914,113.68,11.018,10.803,11.335,0.1062,103.713,10.934,measurable: jsonb faster,0.894,False,False,jsonb,True,no measurable difference,0.042,0.043,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,30,30,None,None,,
