phase,mode,batch,query,type,round,planning_ms,execution_ms,serialization_ms,output_kb,top_node,plan_shape,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,scan_rows_removed_by_filter,shared_hit_blocks,shared_read_blocks,temp_written_blocks,io_read_ms,serialization_shared_hit_blocks,planning_shared_hit_blocks,planning_memory_used_kb,jit,settings,kind,indexes_used,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck
I-0,default,1,Q07,json,1,1.326,56.009,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,8,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,jsonb,1,1.18,12.735,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,8,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,json,2,0.026,57.853,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,jsonb,2,0.04,10.607,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,json,3,0.027,55.434,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,jsonb,3,0.043,10.515,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",warmup,-,,,
I-0,default,1,Q07,json,1,0.026,55.347,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,1,0.04,10.609,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,2,0.041,10.077,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,2,0.044,57.077,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,3,0.044,57.491,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,3,0.041,10.626,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,4,0.025,9.945,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,4,0.025,56.771,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,5,0.044,54.225,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,5,0.045,13.413,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,6,0.042,11.165,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,6,0.059,63.862,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,7,0.046,55.82,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,7,0.046,13.093,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,8,0.044,11.377,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,8,0.033,57.08,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,9,0.04,60.823,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,9,0.066,10.765,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,10,0.024,10.364,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,10,0.026,62.884,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,11,0.046,53.24,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,11,0.032,10.385,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,12,0.024,10.221,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,12,0.028,57.764,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,json,13,0.046,53.773,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,1250,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
I-0,default,1,Q07,jsonb,13,0.034,10.2,,1,Seq Scan,Seq Scan on T,25,12,25,12,4988,981,0,0,,0,0,9,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",measure,-,,,
