phase,index,table,method,valid,ready,size_bytes,reltuples,definition
I-0,access_log_json_pkey,access_log_json,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_json_pkey ON log_regex_json.access_log_json USING btree (log_id)
I-0,access_log_jsonb_pkey,access_log_jsonb,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_jsonb_pkey ON log_regex_json.access_log_jsonb USING btree (log_id)
I-1,access_log_json_i1a_record_validity,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1a_record_validity ON log_regex_json.access_log_json USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-1,access_log_json_i1b_entity_type_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1b_entity_type_code ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-1,access_log_json_i1c_status_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1c_status_code ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-1,access_log_json_i1d_latitude_degrees,access_log_json,btree,True,True,147456,5000,CREATE INDEX access_log_json_i1d_latitude_degrees ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-1,access_log_json_i1e_event_timestamp_utc,access_log_json,btree,True,True,180224,5000,CREATE INDEX access_log_json_i1e_event_timestamp_utc ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-1,access_log_json_pkey,access_log_json,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_json_pkey ON log_regex_json.access_log_json USING btree (log_id)
I-1,access_log_jsonb_i1a_record_validity,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1a_record_validity ON log_regex_json.access_log_jsonb USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-1,access_log_jsonb_i1b_entity_type_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1b_entity_type_code ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-1,access_log_jsonb_i1c_status_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1c_status_code ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-1,access_log_jsonb_i1d_latitude_degrees,access_log_jsonb,btree,True,True,147456,5000,CREATE INDEX access_log_jsonb_i1d_latitude_degrees ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-1,access_log_jsonb_i1e_event_timestamp_utc,access_log_jsonb,btree,True,True,180224,5000,CREATE INDEX access_log_jsonb_i1e_event_timestamp_utc ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-1,access_log_jsonb_pkey,access_log_jsonb,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_jsonb_pkey ON log_regex_json.access_log_jsonb USING btree (log_id)
I-2,access_log_json_i1a_record_validity,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1a_record_validity ON log_regex_json.access_log_json USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-2,access_log_json_i1b_entity_type_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1b_entity_type_code ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-2,access_log_json_i1c_status_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1c_status_code ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-2,access_log_json_i1d_latitude_degrees,access_log_json,btree,True,True,147456,5000,CREATE INDEX access_log_json_i1d_latitude_degrees ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-2,access_log_json_i1e_event_timestamp_utc,access_log_json,btree,True,True,180224,5000,CREATE INDEX access_log_json_i1e_event_timestamp_utc ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-2,access_log_json_pkey,access_log_json,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_json_pkey ON log_regex_json.access_log_json USING btree (log_id)
I-2,access_log_jsonb_i1a_record_validity,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1a_record_validity ON log_regex_json.access_log_jsonb USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-2,access_log_jsonb_i1b_entity_type_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1b_entity_type_code ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-2,access_log_jsonb_i1c_status_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1c_status_code ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-2,access_log_jsonb_i1d_latitude_degrees,access_log_jsonb,btree,True,True,147456,5000,CREATE INDEX access_log_jsonb_i1d_latitude_degrees ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-2,access_log_jsonb_i1e_event_timestamp_utc,access_log_jsonb,btree,True,True,180224,5000,CREATE INDEX access_log_jsonb_i1e_event_timestamp_utc ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-2,access_log_jsonb_i2_gin_jsonb_ops,access_log_jsonb,gin,True,True,4521984,5000,CREATE INDEX access_log_jsonb_i2_gin_jsonb_ops ON log_regex_json.access_log_jsonb USING gin (doc)
I-2,access_log_jsonb_pkey,access_log_jsonb,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_jsonb_pkey ON log_regex_json.access_log_jsonb USING btree (log_id)
I-3,access_log_json_i1a_record_validity,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1a_record_validity ON log_regex_json.access_log_json USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-3,access_log_json_i1b_entity_type_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1b_entity_type_code ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-3,access_log_json_i1c_status_code,access_log_json,btree,True,True,57344,5000,CREATE INDEX access_log_json_i1c_status_code ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-3,access_log_json_i1d_latitude_degrees,access_log_json,btree,True,True,147456,5000,CREATE INDEX access_log_json_i1d_latitude_degrees ON log_regex_json.access_log_json USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-3,access_log_json_i1e_event_timestamp_utc,access_log_json,btree,True,True,180224,5000,CREATE INDEX access_log_json_i1e_event_timestamp_utc ON log_regex_json.access_log_json USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-3,access_log_json_pkey,access_log_json,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_json_pkey ON log_regex_json.access_log_json USING btree (log_id)
I-3,access_log_jsonb_i1a_record_validity,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1a_record_validity ON log_regex_json.access_log_jsonb USING btree ((((doc -> 'record'::text) ->> 'record_validity'::text)))
I-3,access_log_jsonb_i1b_entity_type_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1b_entity_type_code ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'entity_type'::text) ->> 'code'::text)))
I-3,access_log_jsonb_i1c_status_code,access_log_jsonb,btree,True,True,57344,5000,CREATE INDEX access_log_jsonb_i1c_status_code ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'status'::text) ->> 'code'::text))::integer))
I-3,access_log_jsonb_i1d_latitude_degrees,access_log_jsonb,btree,True,True,147456,5000,CREATE INDEX access_log_jsonb_i1d_latitude_degrees ON log_regex_json.access_log_jsonb USING btree ((((((doc -> 'fields'::text) -> 'latitude'::text) ->> 'degrees'::text))::numeric))
I-3,access_log_jsonb_i1e_event_timestamp_utc,access_log_jsonb,btree,True,True,180224,5000,CREATE INDEX access_log_jsonb_i1e_event_timestamp_utc ON log_regex_json.access_log_jsonb USING btree (((((doc -> 'fields'::text) -> 'event_timestamp'::text) ->> 'utc'::text)))
I-3,access_log_jsonb_i3_gin_jsonb_path_ops,access_log_jsonb,gin,True,True,3727360,5000,CREATE INDEX access_log_jsonb_i3_gin_jsonb_path_ops ON log_regex_json.access_log_jsonb USING gin (doc jsonb_path_ops)
I-3,access_log_jsonb_pkey,access_log_jsonb,btree,True,True,131072,5000,CREATE UNIQUE INDEX access_log_jsonb_pkey ON log_regex_json.access_log_jsonb USING btree (log_id)
