phase,mode,batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,plan_shape,indexes_used,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,shared_hit_blocks,shared_read_blocks,exact_heap_blocks,lossy_heap_blocks,rows_removed_by_index_recheck,planning_shared_hit_blocks,jit_present,settings,detail_execution_ms
I-0,default,1,Q07,json,15,52.844,54.225,57.077,58.184,63.862,0.025,0.026,0.044,0.046,0.059,Seq Scan on T,-,25,12,25,12,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",55.738
I-0,default,1,Q07,jsonb,15,9.889,10.2,10.385,11.165,13.413,0.024,0.025,0.041,0.044,0.066,Seq Scan on T,-,25,12,25,12,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.639
I-0,default,1,Q08,json,15,96.374,99.63,100.969,103.503,125.271,0.026,0.028,0.043,0.045,0.045,Seq Scan on T,-,25,225,25,225,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",106.839
I-0,default,1,Q08,jsonb,15,10.343,10.673,10.957,11.955,12.966,0.023,0.027,0.04,0.044,0.071,Seq Scan on T,-,25,225,25,225,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.006
I-0,default,1,Q10,json,15,97.956,99.914,103.718,113.68,125.037,0.027,0.037,0.042,0.045,0.079,Seq Scan on T,-,25,30,25,30,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",102.089
I-0,default,1,Q10,jsonb,15,10.477,10.803,11.018,11.335,11.966,0.024,0.026,0.043,0.045,0.047,Seq Scan on T,-,25,30,25,30,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.034
I-0,default,1,Q11a,json,15,109.521,113.225,117.761,125.418,134.29,0.032,0.034,0.046,0.052,0.054,Seq Scan on T,-,25,422,25,422,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",115.731
I-0,default,1,Q11a,jsonb,15,12.976,13.304,13.639,14.014,15.704,0.028,0.03,0.045,0.051,0.054,Seq Scan on T,-,25,422,25,422,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.816
I-0,default,1,Q11b,json,15,163.774,169.493,172.871,186.328,193.044,0.034,0.035,0.039,0.051,0.054,Seq Scan on T,-,25,3064,25,3064,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",182.753
I-0,default,1,Q11b,jsonb,15,18.504,18.751,19.332,19.508,20.414,0.028,0.03,0.046,0.051,0.052,Seq Scan on T,-,25,3064,25,3064,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",20.059
I-0,default,1,Q12a,json,15,140.442,143.743,153.864,160.29,172.31,0.03,0.032,0.045,0.047,0.067,Seq Scan on T,-,25,13,25,13,1250,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",146.938
I-0,default,1,Q12a,jsonb,15,14.484,14.508,14.685,15.053,24.447,0.024,0.026,0.045,0.047,0.061,Seq Scan on T,-,25,13,25,13,981,0,None,None,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",15.609
