session,run,series,block,stmt,label,type,config,group,kind,round,attempt,used,retry_requested,flags,check_ok,exec_ms,per_row_ms,planning_ms,client_begin_ms,client_stmt_ms,client_commit_ms,client_total_ms,snapshot_gap_ms,explain_wal_records,explain_wal_bytes,explain_wal_fpi,loop_wal_bytes,lsn_diff_bytes,commit_and_page_overhead_bytes,stat_wal_records,stat_wal_fpi,stat_wal_bytes,stat_wal_buffers_full,stat_wal_write,stat_wal_sync,stat_wal_write_ms,stat_wal_sync_ms,shared_hit,shared_read,shared_dirtied,shared_written,temp_written,planning_shared_hit,io_hits,io_reads,io_writes,io_extends,io_fsyncs,io_write_ms,io_extend_ms,io_fsync_ms,rows_inserted,rows_updated,hot_updates,newpage_updates,live_after,dead_after,heap_bytes_before,heap_bytes_after,heap_growth,heap_pages_after,fsm_bytes_after,vm_bytes_after,toast_bytes_before,toast_bytes_after,toast_growth,toast_index_growth,pkey_growth,secondary_index_bytes_before,secondary_index_bytes_after,secondary_index_growth,index_bytes_after,docs_compressed_before,docs_compressed_after,docs_external_before,docs_external_after,doc_stored_bytes_before,doc_stored_bytes_after,updated_text_differs,updated_stored_text_bytes,updated_expected_text_bytes,extra_checkpoints_in_cycle,others_connected,plan_shape
1,W1/json/X-0/w01,W1/json/X-0,W1,W1,json,json,X-0,head-to-head,warmup,1,1,True,False,,True,186.801,,0.064,0.089,187.268,6.646,194.003,217.729,10014,9059086,0,,9103064,43978,10015.0,0.0,9059120.0,600.0,602.0,0.0,96.01699999999983,0.0,18373,0,1267,1268,0,3,18784.0,0.0,0.0,1268.0,0.0,0.0,18.241000000000213,0.0,5000.0,0.0,0.0,0.0,5000,0,0,10240000,10240000.0,1250,24576,0,0,0,0.0,0.0,122880,0,0,0,"{""access_log_json_w_pkey"":131072}",0,1,0,0,0,8434066,0,0,0,0,4,ModifyTable on access_log_json_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-0/w01,W1/jsonb/X-0,W1,W1,jsonb,jsonb,X-0,head-to-head,warmup,1,1,True,False,,True,300.307,,0.045,0.093,300.645,3.836,304.574,317.645,10014,7844703,0,,7884272,39569,10015.0,0.0,7844737.0,150.0,153.0,0.0,35.0,0.0,18397,0,998,999,0,0,18465.0,0.0,0.0,999.0,0.0,0.0,15.541999999999916,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,0,0,0,"{""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/json/X-1/w01,W1/json/X-1,W1,W1,json,json,X-1,head-to-head,warmup,1,1,True,False,,True,630.134,,0.048,0.097,630.456,1.506,632.059,645.178,35281,10955870,0,,11006000,50130,35282.0,0.0,10955904.0,43.0,48.0,0.0,7.550999999999476,0.0,63894,0,1338,1334,0,0,64002.0,0.0,0.0,1334.0,0.0,0.0,18.936999999999898,0.0,5000.0,0.0,0.0,0.0,5000,0,0,10240000,10240000.0,1250,24576,0,0,0,0.0,0.0,122880,40960,581632,540672,"{""access_log_json_w_i1a_record_validity"":57344,""access_log_json_w_i1b_entity_type_code"":65536,""access_log_json_w_i1c_status_code"":57344,""access_log_json_w_i1d_latitude_degrees"":163840,""access_log_json_w_i1e_event_timestamp_utc"":237568,""access_log_json_w_pkey"":131072}",0,1,0,0,0,8434066,0,0,0,0,4,ModifyTable on access_log_json_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-1/w01,W1/jsonb/X-1,W1,W1,jsonb,jsonb,X-1,head-to-head,warmup,1,1,True,False,,True,339.831,,0.057,0.106,340.163,3.901,344.17,360.715,35284,9741849,0,,9788288,46439,35285.0,0.0,9741883.0,170.0,173.0,0.0,38.722999999999956,0.0,63918,0,1069,1065,0,0,64027.0,0.0,0.0,1065.0,0.0,0.0,15.631000000000085,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,40960,581632,540672,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-2/w01,W1/jsonb/X-2,W1,W1,jsonb,jsonb,X-2,separate: GIN (jsonb only),warmup,1,1,True,False,,True,1098.626,,0.058,0.124,1098.968,1.071,1100.163,1119.884,87077,27427915,743,,27719584,291669,87078.0,743.0,27427949.0,1674.0,1681.0,0.0,209.20100000000093,0.0,191879,0,2002,1996,0,0,191995.0,0.0,0.0,1996.0,0.0,0.0,29.343000000000075,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,57344,8200192,8142848,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i2_gin_jsonb_ops"":7618560,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-3/w01,W1/jsonb/X-3,W1,W1,jsonb,jsonb,X-3,separate: GIN (jsonb only),warmup,1,1,True,False,,True,892.856,,0.048,0.101,893.157,5.343,898.601,911.801,69157,20348036,470,,20549016,200980,69158.0,470.0,20348070.0,1440.0,1447.0,0.0,257.8119999999999,0.0,132811,0,1847,1841,0,0,132925.0,0.0,0.0,1841.0,0.0,0.0,30.743999999999915,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,57344,6930432,6873088,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":6348800,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-4/w01,W1/jsonb/X-4,W1,W1,jsonb,jsonb,X-4,separate: GIN (jsonb only),warmup,1,1,True,False,,True,1447.587,,0.047,0.103,1447.881,4.141,1452.1250000000002,1465.937,120950,38034102,1213,,38480336,446234,120951.0,1213.0,38034136.0,2195.0,2204.0,0.0,312.5779999999995,0.0,260772,0,2780,2772,0,0,260895.0,0.0,0.0,2772.0,0.0,0.0,40.18100000000004,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,73728,14548992,14475264,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i2_gin_jsonb_ops"":7618560,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":6348800,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-4/w02,W1/jsonb/X-4,W1,W1,jsonb,jsonb,X-4,separate: GIN (jsonb only),warmup,2,1,True,False,,True,1463.309,,0.052,0.097,1463.618,3.882,1467.597,1486.226,120950,38034102,1213,,38480336,446234,120951.0,1213.0,38034136.0,2624.0,2633.0,0.0,302.15099999999984,0.0,260772,0,2780,2772,0,0,260893.0,0.0,0.0,2772.0,0.0,0.0,42.85100000000011,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,73728,14548992,14475264,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i2_gin_jsonb_ops"":7618560,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":6348800,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-3/w02,W1/jsonb/X-3,W1,W1,jsonb,jsonb,X-3,separate: GIN (jsonb only),warmup,2,1,True,False,,True,747.193,,0.046,0.095,747.492,4.386,751.973,764.042,69157,20348036,470,,20549024,200988,69158.0,470.0,20348070.0,1317.0,1323.0,0.0,172.7489999999998,0.0,132811,0,1847,1841,0,0,132927.0,0.0,0.0,1841.0,0.0,0.0,29.06100000000015,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,57344,6930432,6873088,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i3_gin_jsonb_path_ops"":6348800,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
1,W1/jsonb/X-2/w02,W1/jsonb/X-2,W1,W1,jsonb,jsonb,X-2,separate: GIN (jsonb only),warmup,2,1,True,False,,True,1205.519,,0.078,0.08,1205.953,4.293,1210.3259999999998,1222.447,87077,27427915,743,,27719600,291685,87078.0,743.0,27427949.0,2215.0,2223.0,0.0,290.1869999999999,0.0,191879,0,2002,1996,0,0,191995.0,0.0,0.0,1996.0,0.0,0.0,29.764000000000124,0.0,5000.0,0.0,0.0,0.0,5000,0,0,8036352,8036352.0,981,24576,0,0,0,0.0,0.0,122880,57344,8200192,8142848,"{""access_log_jsonb_w_i1a_record_validity"":57344,""access_log_jsonb_w_i1b_entity_type_code"":65536,""access_log_jsonb_w_i1c_status_code"":57344,""access_log_jsonb_w_i1d_latitude_degrees"":163840,""access_log_jsonb_w_i1e_event_timestamp_utc"":237568,""access_log_jsonb_w_i2_gin_jsonb_ops"":7618560,""access_log_jsonb_w_pkey"":131072}",0,2880,0,0,0,7219683,,,,0,4,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey]
