comparison,block,a,b,metric,a_median,a_p25,a_p75,a_min,a_max,b_median,b_p25,b_p75,b_min,b_max,ratio_b_over_a,rule,result
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,exec_ms,165.658,150.116,191.092,85.726,207.925,301.826,291.663,361.076,261.621,396.557,1.8219826389308096,Step 6A: IQR non-overlap and >= 10 % median difference,measurable: json/X-0 faster
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,client_total_ms,170.925,154.519,198.483,90.226,213.603,315.574,292.601,365.022,265.933,401.842,1.8462717566184,Step 6A: IQR non-overlap and >= 10 % median difference,measurable: json/X-0 faster
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,explain_wal_bytes,9059086.0,9059086.0,9059086.0,9059086.0,9059086.0,7844703.0,7844703.0,7844703.0,7844703.0,7844703.0,0.8659486177744642,min-max ranges non-overlapping,consistent: jsonb/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,lsn_diff_bytes,9103072.0,9103048.0,9103088.0,9103048.0,9103088.0,7884288.0,7884272.0,7884296.0,7884272.0,7884352.0,0.8661128902418875,min-max ranges non-overlapping,consistent: jsonb/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,stat_wal_records,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10015.0,10016.0,1.0,min-max ranges non-overlapping,overlapping
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,stat_wal_fpi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,min-max ranges non-overlapping,identical
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,shared_dirtied,1267.0,1267.0,1267.0,1267.0,1267.0,998.0,998.0,998.0,998.0,998.0,0.7876874506708761,min-max ranges non-overlapping,consistent: jsonb/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,io_extends,1268.0,1268.0,1268.0,1268.0,1268.0,999.0,999.0,999.0,999.0,999.0,0.7878548895899053,min-max ranges non-overlapping,consistent: jsonb/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,heap_growth,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,0.7848,min-max ranges non-overlapping,consistent: jsonb/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,toast_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,min-max ranges non-overlapping,identical
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,secondary_index_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,min-max ranges non-overlapping,identical
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,dead_after,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,min-max ranges non-overlapping,identical
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,hot_updates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,min-max ranges non-overlapping,identical
head-to-head json vs jsonb,W1,W1/json/X-0,W1/jsonb/X-0,docs_compressed_after,1.0,1.0,1.0,1.0,1.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,min-max ranges non-overlapping,consistent: json/X-0 lower
head-to-head json vs jsonb,W1,W1/json/X-1,W1/jsonb/X-1,exec_ms,731.528,670.757,861.353,599.736,1003.787,371.331,339.79,440.733,329.261,486.032,0.5076100983147603,Step 6A: IQR non-overlap and >= 10 % median difference,measurable: jsonb/X-1 faster
head-to-head json vs jsonb,W1,W1/json/X-1,W1/jsonb/X-1,client_total_ms,733.6419999999999,673.085,871.813,603.101,1015.732,375.978,353.57599999999996,466.655,333.03999999999996,491.928,0.5124815645778187,Step 6A: IQR non-overlap and >= 10 % median difference,measurable: jsonb/X-1 faster
head-to-head json vs jsonb,W1,W1/json/X-1,W1/jsonb/X-1,explain_wal_bytes,10955870.0,10955870.0,10955870.0,10955870.0,10955870.0,9741849.0,9741849.0,9741849.0,9741849.0,9741849.0,0.8891899045899595,min-max ranges non-overlapping,consistent: jsonb/X-1 lower
