session,series,block,stmt,label,type,config,group,measured_runs,clean_runs,excluded_flagged,repeated_attempts,flagged_attempts_all_kinds,checks_ok,attempts_checked,plan_shapes,exec_ms_median,exec_ms_p25,exec_ms_p75,exec_ms_min,exec_ms_max,per_row_ms_median,per_row_ms_p25,per_row_ms_p75,per_row_ms_min,per_row_ms_max,planning_ms_median,planning_ms_p25,planning_ms_p75,planning_ms_min,planning_ms_max,client_total_ms_median,client_total_ms_p25,client_total_ms_p75,client_total_ms_min,client_total_ms_max,client_commit_ms_median,client_commit_ms_p25,client_commit_ms_p75,client_commit_ms_min,client_commit_ms_max,explain_wal_records_median,explain_wal_records_min,explain_wal_records_max,explain_wal_bytes_median,explain_wal_bytes_min,explain_wal_bytes_max,explain_wal_fpi_median,explain_wal_fpi_min,explain_wal_fpi_max,loop_wal_bytes_median,loop_wal_bytes_min,loop_wal_bytes_max,lsn_diff_bytes_median,lsn_diff_bytes_min,lsn_diff_bytes_max,commit_and_page_overhead_bytes_median,commit_and_page_overhead_bytes_min,commit_and_page_overhead_bytes_max,stat_wal_records_median,stat_wal_records_min,stat_wal_records_max,stat_wal_fpi_median,stat_wal_fpi_min,stat_wal_fpi_max,stat_wal_bytes_median,stat_wal_bytes_min,stat_wal_bytes_max,stat_wal_buffers_full_median,stat_wal_buffers_full_min,stat_wal_buffers_full_max,stat_wal_write_median,stat_wal_write_min,stat_wal_write_max,stat_wal_sync_median,stat_wal_sync_min,stat_wal_sync_max,stat_wal_sync_ms_median,stat_wal_sync_ms_min,stat_wal_sync_ms_max,shared_hit_median,shared_hit_min,shared_hit_max,shared_read_median,shared_read_min,shared_read_max,shared_dirtied_median,shared_dirtied_min,shared_dirtied_max,shared_written_median,shared_written_min,shared_written_max,io_writes_median,io_writes_min,io_writes_max,io_extends_median,io_extends_min,io_extends_max,io_fsyncs_median,io_fsyncs_min,io_fsyncs_max,rows_inserted_median,rows_inserted_min,rows_inserted_max,rows_updated_median,rows_updated_min,rows_updated_max,hot_updates_median,hot_updates_min,hot_updates_max,newpage_updates_median,newpage_updates_min,newpage_updates_max,live_after_median,live_after_min,live_after_max,dead_after_median,dead_after_min,dead_after_max,heap_bytes_before_median,heap_bytes_before_min,heap_bytes_before_max,heap_bytes_after_median,heap_bytes_after_min,heap_bytes_after_max,heap_growth_median,heap_growth_min,heap_growth_max,heap_pages_after_median,heap_pages_after_min,heap_pages_after_max,toast_bytes_after_median,toast_bytes_after_min,toast_bytes_after_max,toast_growth_median,toast_growth_min,toast_growth_max,toast_index_growth_median,toast_index_growth_min,toast_index_growth_max,pkey_growth_median,pkey_growth_min,pkey_growth_max,secondary_index_bytes_before_median,secondary_index_bytes_before_min,secondary_index_bytes_before_max,secondary_index_bytes_after_median,secondary_index_bytes_after_min,secondary_index_bytes_after_max,secondary_index_growth_median,secondary_index_growth_min,secondary_index_growth_max,docs_compressed_before_median,docs_compressed_before_min,docs_compressed_before_max,docs_compressed_after_median,docs_compressed_after_min,docs_compressed_after_max,docs_external_after_median,docs_external_after_min,docs_external_after_max,doc_stored_bytes_after_median,doc_stored_bytes_after_min,doc_stored_bytes_after_max,updated_text_differs_median,updated_text_differs_min,updated_text_differs_max,updated_stored_text_bytes_median,updated_stored_text_bytes_min,updated_stored_text_bytes_max,updated_expected_text_bytes_median,updated_expected_text_bytes_min,updated_expected_text_bytes_max
1,W1/json/X-0,W1,W1,json,json,X-0,head-to-head,15,15,0,0,0,True,19,ModifyTable on access_log_json_w [Index Scan using canonical_doc_pkey],165.658,150.116,191.092,85.726,207.925,,,,,,0.053,0.049,0.08,0.045,0.195,170.925,154.519,198.483,90.226,213.603,4.828,4.039,6.749,2.665,11.336,10014.0,10014.0,10014.0,9059086.0,9059086.0,9059086.0,0.0,0.0,0.0,,,,9103072.0,9103048.0,9103088.0,43986.0,43962.0,44002.0,10015.0,10015.0,10015.0,0.0,0.0,0.0,9059120.0,9059120.0,9059120.0,487.0,111.0,601.0,490.0,114.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,18373.0,18373.0,18373.0,0.0,0.0,0.0,1267.0,1267.0,1267.0,1268.0,1268.0,1268.0,0.0,0.0,0.0,1268.0,1268.0,1268.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,1250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8434066.0,8434066.0,8434066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1/json/X-1,W1,W1,json,json,X-1,head-to-head,15,15,0,1,1,True,20,ModifyTable on access_log_json_w [Index Scan using canonical_doc_pkey],731.528,670.757,861.353,599.736,1003.787,,,,,,0.05,0.048,0.064,0.046,0.097,733.6419999999999,673.085,871.813,603.101,1015.732,4.566,2.882,11.246,1.443,19.605,35281.0,35281.0,35281.0,10955870.0,10955870.0,10955870.0,0.0,0.0,0.0,,,,11006008.0,11005984.0,11006024.0,50138.0,50114.0,50154.0,35282.0,35282.0,35282.0,0.0,0.0,0.0,10955904.0,10955904.0,10955904.0,78.0,0.0,311.0,83.0,5.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,63894.0,63894.0,63894.0,0.0,0.0,0.0,1338.0,1338.0,1338.0,1334.0,1334.0,1334.0,0.0,0.0,0.0,1334.0,1334.0,1334.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,10240000.0,1250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,40960.0,40960.0,40960.0,581632.0,581632.0,581632.0,540672.0,540672.0,540672.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8434066.0,8434066.0,8434066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1/jsonb/X-0,W1,W1,jsonb,jsonb,X-0,head-to-head,15,15,0,0,0,True,19,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey],301.826,291.663,361.076,261.621,396.557,,,,,,0.052,0.05,0.062,0.042,0.192,315.574,292.601,365.022,265.933,401.842,4.346,3.911,5.271,0.548,14.699,10014.0,10014.0,10014.0,7844703.0,7844703.0,7844703.0,0.0,0.0,0.0,,,,7884288.0,7884272.0,7884352.0,39585.0,39569.0,39649.0,10015.0,10015.0,10016.0,0.0,0.0,0.0,7844737.0,7844737.0,7844791.0,155.0,1.0,366.0,158.0,3.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,18397.0,18397.0,18397.0,0.0,0.0,0.0,998.0,998.0,998.0,999.0,999.0,999.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
1,W1/jsonb/X-1,W1,W1,jsonb,jsonb,X-1,head-to-head,15,14,1,0,1,True,19,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey],371.331,339.79,440.733,329.261,486.032,,,,,,0.058,0.05,0.064,0.046,0.104,375.978,353.57599999999996,466.655,333.03999999999996,491.928,4.869,4.196,13.324,2.433,25.032,35284.0,35284.0,35284.0,9741849.0,9741849.0,9741849.0,0.0,0.0,0.0,,,,9788272.0,9788264.0,9788328.0,46423.0,46415.0,46479.0,35285.0,35285.0,35286.0,0.0,0.0,0.0,9741883.0,9741883.0,9741937.0,189.0,71.0,608.0,192.0,74.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,63918.0,63918.0,63918.0,0.0,0.0,0.0,1069.0,1069.0,1069.0,1065.0,1065.0,1065.0,0.0,0.0,0.0,1065.0,1065.0,1065.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,40960.0,40960.0,40960.0,581632.0,581632.0,581632.0,540672.0,540672.0,540672.0,0.0,0.0,0.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
1,W1/jsonb/X-2,W1,W1,jsonb,jsonb,X-2,separate: GIN (jsonb only),15,15,0,0,0,True,19,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey],1295.759,1206.614,1356.374,1078.608,1457.142,,,,,,0.061,0.051,0.074,0.047,0.106,1299.743,1211.191,1361.861,1083.389,1459.5520000000001,4.37,3.316,5.946,1.896,15.663,87077.0,87077.0,87077.0,27427915.0,27427915.0,27427915.0,743.0,743.0,743.0,,,,27719608.0,27719584.0,27960488.0,291693.0,291669.0,532573.0,87078.0,87078.0,87271.0,743.0,743.0,801.0,27427949.0,27427949.0,27667153.0,1372.0,463.0,2327.0,1381.0,471.0,2336.0,0.0,0.0,0.0,0.0,0.0,0.0,191879.0,191879.0,191879.0,0.0,0.0,0.0,2002.0,2002.0,2002.0,1996.0,1996.0,1996.0,0.0,0.0,0.0,1996.0,1996.0,1996.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,57344.0,57344.0,57344.0,8200192.0,8200192.0,8200192.0,8142848.0,8142848.0,8142848.0,0.0,0.0,0.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
1,W1/jsonb/X-3,W1,W1,jsonb,jsonb,X-3,separate: GIN (jsonb only),15,15,0,0,0,True,19,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey],823.623,742.225,851.409,707.706,1032.656,,,,,,0.058,0.054,0.064,0.045,0.087,829.346,746.813,857.66,713.2379999999999,1036.192,4.85,4.198,5.697,3.022,22.175,69157.0,69157.0,69157.0,20348036.0,20348036.0,20348036.0,470.0,470.0,470.0,,,,20549024.0,20549000.0,20549072.0,200988.0,200964.0,201036.0,69158.0,69158.0,69159.0,470.0,470.0,470.0,20348070.0,20348070.0,20348124.0,1143.0,533.0,1422.0,1149.0,538.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,132811.0,132811.0,132811.0,0.0,0.0,0.0,1847.0,1847.0,1847.0,1841.0,1841.0,1841.0,0.0,0.0,0.0,1841.0,1841.0,1841.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,57344.0,57344.0,57344.0,6930432.0,6930432.0,6930432.0,6873088.0,6873088.0,6873088.0,0.0,0.0,0.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
1,W1/jsonb/X-4,W1,W1,jsonb,jsonb,X-4,separate: GIN (jsonb only),15,15,0,0,0,True,19,ModifyTable on access_log_jsonb_w [Index Scan using canonical_doc_pkey],1606.402,1499.5,1900.273,1460.585,2009.881,,,,,,0.057,0.049,0.077,0.048,0.138,1611.5230000000001,1504.737,1910.492,1466.6770000000001,2024.541,5.189,4.352,12.068,3.778,29.816,120950.0,120950.0,120950.0,38034102.0,38034102.0,38034102.0,1213.0,1213.0,1213.0,,,,38480352.0,38480336.0,38480432.0,446250.0,446234.0,446330.0,120951.0,120951.0,120952.0,1213.0,1213.0,1213.0,38034136.0,38034136.0,38034190.0,2312.0,971.0,3002.0,2321.0,981.0,3012.0,0.0,0.0,0.0,0.0,0.0,0.0,260772.0,260772.0,260772.0,0.0,0.0,0.0,2780.0,2780.0,2780.0,2772.0,2772.0,2772.0,0.0,0.0,0.0,2772.0,2772.0,2772.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,8036352.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122880.0,122880.0,122880.0,73728.0,73728.0,73728.0,14548992.0,14548992.0,14548992.0,14475264.0,14475264.0,14475264.0,0.0,0.0,0.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
1,W1b/json/X-0,W1b,W1b,json,json,X-0,head-to-head,15,15,0,0,0,True,18,DO loop (250 single-row INSERT),5.13,4.705,5.757,4.6,16.721,0.02052,0.01882,0.023028,0.0184,0.066884,,,,,,8.66,7.987000000000001,9.647,7.659,33.150999999999996,0.904,0.857,1.352,0.444,9.215,,,,,,,,,,558376.0,558376.0,558416.0,558416.0,558416.0,558456.0,40.0,40.0,40.0,501.0,501.0,502.0,15.0,15.0,16.0,555847.0,555847.0,561272.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,0.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,9750.0,9750.0,0.0,0.0,0.0,9732096.0,9732096.0,9732096.0,10240000.0,10240000.0,10240000.0,507904.0,507904.0,507904.0,1250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8434066.0,8434066.0,8434066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1b/json/X-1,W1b,W1b,json,json,X-1,head-to-head,15,15,0,0,0,True,18,DO loop (250 single-row INSERT),33.623,32.502,34.431,31.569,99.792,0.134492,0.130008,0.13772399999999999,0.126276,0.399168,,,,,,37.602999999999994,35.926,39.64,34.951,119.096,1.309,1.088,1.374,0.431,12.299,,,,,,,,,,957016.0,956992.0,957072.0,957056.0,957032.0,957112.0,40.0,40.0,40.0,1754.0,1754.0,1756.0,62.0,62.0,64.0,953092.0,953092.0,966578.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,64.0,64.0,64.0,0.0,0.0,0.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,5000.0,9750.0,0.0,0.0,0.0,9732096.0,9732096.0,9732096.0,10240000.0,10240000.0,10240000.0,507904.0,507904.0,507904.0,1250.0,1250.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475136.0,475136.0,475136.0,491520.0,491520.0,491520.0,16384.0,16384.0,16384.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8434066.0,8434066.0,8434066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,W1b/jsonb/X-0,W1b,W1b,jsonb,jsonb,X-0,head-to-head,15,15,0,1,1,True,19,DO loop (250 single-row INSERT),12.941,12.244,14.013,11.949,41.223,0.051764000000000004,0.048976,0.056052,0.047796,0.16489199999999998,,,,,,16.218,15.464,17.255999999999997,15.112,60.152,0.864,0.81,0.968,0.47,11.816,,,,,,,,,,500608.0,500608.0,500632.0,500648.0,500648.0,500672.0,40.0,40.0,40.0,501.0,501.0,501.0,14.0,14.0,14.0,498314.0,498314.0,498314.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,5000.0,9750.0,0.0,0.0,0.0,7643136.0,7643136.0,7643136.0,8052736.0,8052736.0,8052736.0,409600.0,409600.0,409600.0,983.0,983.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2743.0,2743.0,2743.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,7219683.0,7219683.0,7219683.0,,,,,,,,,
