class,label,block,a,b,metric,a_median,a_p25,a_p75,b_median,b_p25,b_p75,ratio_b_over_a,measurable,faster,result,a_index_used,b_index_used
IM,index method,B1,B1@G-1,B1@G-2,exec,0.245,0.24,0.252,0.253,0.234,0.275,1.0326530612244897,False,,not measurable,15/15,15/15
IM,index method,B1,B1@G-1,B1@G-2,plan,0.061,0.059,0.07,0.065,0.057,0.07,1.0655737704918034,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B1,B1@G-1,B1@G-3,exec,0.245,0.24,0.252,0.884,0.852,0.899,3.6081632653061226,True,B1@G-1,measurable: B1@G-1 faster,15/15,0/15
IM,index method,B1,B1@G-1,B1@G-3,plan,0.061,0.059,0.07,0.072,0.06,0.086,1.180327868852459,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B1,B1@G-2,B1@G-3,exec,0.253,0.234,0.275,0.884,0.852,0.899,3.494071146245059,True,B1@G-2,measurable: B1@G-2 faster,15/15,0/15
IM,index method,B1,B1@G-2,B1@G-3,plan,0.065,0.057,0.07,0.072,0.06,0.086,1.1076923076923075,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
F,flat vs JSONB (same type and index),B1,B1@G-1,B1@J-3,exec,0.245,0.24,0.252,0.422,0.391,0.442,1.7224489795918367,True,B1@G-1,measurable: B1@G-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),B1,B1@G-1,B1@J-3,plan,0.061,0.059,0.07,0.061,0.058,0.064,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B1,B1@G-0,B1@J-3c,exec,0.834,0.796,0.883,1.501,1.396,1.617,1.7997601918465227,True,B1@G-0,measurable: B1@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B1,B1@G-0,B1@J-3c,plan,0.042,0.04,0.043,0.044,0.042,0.052,1.0476190476190474,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,B1,B1@J-1,B1@J-3,exec,2.5,2.327,2.6,0.422,0.391,0.442,0.1688,True,B1@J-3,measurable: B1@J-3 faster,15/15,15/15
