session,block,query,config,kind,round,series,planning_ms,execution_ms,serialization_ms,planning_hit,planning_memory_kb,shared_hit,shared_read,shared_dirtied,temp_written,io_read_ms,top_rows,top_plan_rows,scan_plan_rows,scan_actual_rows,rows_removed_filter,rows_removed_recheck,exact_heap_blocks,lossy_heap_blocks,indexes_used,config_index,index_used,plan_shape,rows_ok,jit
1,B1,B1,N-0,warmup,1,B1@N-0,1.411,0.68,,36,11,31,0,0,0,,410,29,29,410,4590,0,0,0,,,False,Seq Scan on flat_numeric,True,False
1,B1,B1,N-1,warmup,1,B1@N-1,1.635,0.31,,51,14,35,0,0,0,,410,29,29,410,0,0,31,0,flat_numeric_btree_lat_lon_idx,flat_numeric_btree_lat_lon_idx,True,Bitmap Heap Scan on flat_numeric_btree [Bitmap Index Scan using flat_numeric_btree_lat_lon_idx],True,False
1,B1,B1,G-0,warmup,1,B1@G-0,4.847,1.84,,76,9,39,0,0,0,,410,64,64,410,4590,0,0,0,,,False,Seq Scan on flat_geom,True,False
1,B1,B1,G-1,warmup,1,B1@G-1,1.675,1.011,,58,13,42,0,0,0,,410,64,64,410,0,0,39,0,flat_geom_gist_idx,flat_geom_gist_idx,True,Bitmap Heap Scan on flat_geom_gist [Bitmap Index Scan using flat_geom_gist_idx],True,False
1,B1,B1,G-2,warmup,1,B1@G-2,1.41,0.526,,61,13,45,0,0,0,,410,64,64,410,0,0,39,0,flat_geom_spgist_idx,flat_geom_spgist_idx,True,Bitmap Heap Scan on flat_geom_spgist [Bitmap Index Scan using flat_geom_spgist_idx],True,False
1,B1,B1,G-3,warmup,1,B1@G-3,1.328,0.918,,52,11,39,0,0,0,,410,64,64,410,4590,0,0,0,,flat_geom_brin_idx,False,Seq Scan on flat_geom_brin,True,False
1,B1,B1,J-0g,warmup,1,B1@J-0g,0.845,24.972,,26,11,981,0,0,0,,410,1,1,410,4590,0,0,0,,,False,Seq Scan on jsonb_doc,True,False
1,B1,B1,J-1,warmup,1,B1@J-1,1.853,3.204,,60,26,342,0,0,0,,410,64,64,410,0,0,339,0,jsonb_doc_expr_geom_gist_idx,jsonb_doc_expr_geom_gist_idx,True,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx],True,False
1,B1,B1,J-3c,warmup,1,B1@J-3c,0.866,3.718,,25,9,879,0,0,0,,410,64,64,410,4590,0,0,0,,,False,Seq Scan on jsonb_geom,True,False
1,B1,B1,J-3,warmup,1,B1@J-3,1.233,1.213,,38,13,331,0,0,0,,410,64,64,410,0,0,328,0,jsonb_geom_gist_idx,jsonb_geom_gist_idx,True,Bitmap Heap Scan on jsonb_geom_gist [Bitmap Index Scan using jsonb_geom_gist_idx],True,False
