kind,phase,name,table,method,bytes,heap,table_size,indexes,total,relpages,reltuples,options
table,before,flat_geog,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geog_gist,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geog_spgist,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geom,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geom_brin,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geom_gist,,,,319488,360448,131072,491520,39,5000,
table,before,flat_geom_spgist,,,,319488,360448,131072,491520,39,5000,
table,before,flat_numeric,,,,253952,286720,131072,417792,31,5000,
table,before,flat_numeric_btree,,,,253952,286720,131072,417792,31,5000,
table,before,jsonb_doc,,,,8036352,8077312,131072,8208384,981,5000,
table,before,jsonb_doc_expr,,,,8036352,8077312,131072,8208384,981,5000,
table,before,jsonb_geog,,,,7200768,7241728,131072,7372800,879,5000,
table,before,jsonb_geog_gist,,,,7200768,7241728,131072,7372800,879,5000,
table,before,jsonb_geom,,,,7200768,7241728,131072,7372800,879,5000,
table,before,jsonb_geom_gist,,,,7200768,7241728,131072,7372800,879,5000,
table,after,flat_geog,,,,319488,360448,131072,491520,39,5000,
table,after,flat_geog_gist,,,,319488,360448,524288,884736,39,5000,
table,after,flat_geog_spgist,,,,319488,360448,507904,868352,39,5000,
table,after,flat_geom,,,,319488,360448,131072,491520,39,5000,
table,after,flat_geom_brin,,,,319488,360448,180224,540672,39,5000,
table,after,flat_geom_gist,,,,319488,360448,344064,704512,39,5000,
table,after,flat_geom_spgist,,,,319488,360448,409600,770048,39,5000,
table,after,flat_numeric,,,,253952,286720,131072,417792,31,5000,
table,after,flat_numeric_btree,,,,253952,286720,311296,598016,31,5000,
table,after,jsonb_doc,,,,8036352,8077312,131072,8208384,981,5000,
table,after,jsonb_doc_expr,,,,8036352,8077312,737280,8814592,981,5000,
table,after,jsonb_geog,,,,7200768,7241728,131072,7372800,879,5000,
table,after,jsonb_geog_gist,,,,7200768,7241728,524288,7766016,879,5000,
table,after,jsonb_geom,,,,7200768,7241728,131072,7372800,879,5000,
table,after,jsonb_geom_gist,,,,7200768,7241728,344064,7585792,879,5000,
index,after,flat_geog_gist_idx,flat_geog_gist,gist,393216,,,,,48,5000,
index,after,flat_geog_spgist_idx,flat_geog_spgist,spgist,376832,,,,,46,5000,
index,after,flat_geom_brin_idx,flat_geom_brin,brin,24576,,,,,3,5000,
index,after,flat_geom_gist_idx,flat_geom_gist,gist,212992,,,,,26,5000,
index,after,flat_geom_spgist_idx,flat_geom_spgist,spgist,278528,,,,,34,5000,
index,after,flat_numeric_btree_lat_lon_idx,flat_numeric_btree,btree,180224,,,,,22,5000,
index,after,jsonb_doc_expr_geog_gist_idx,jsonb_doc_expr,gist,393216,,,,,48,5000,
index,after,jsonb_doc_expr_geom_gist_idx,jsonb_doc_expr,gist,212992,,,,,26,5000,
index,after,jsonb_geog_gist_idx,jsonb_geog_gist,gist,393216,,,,,48,5000,
index,after,jsonb_geom_gist_idx,jsonb_geom_gist,gist,212992,,,,,26,5000,
