session,block,series,query,config,runs,exec_median,exec_p25,exec_p75,exec_min,exec_max,plan_median,plan_p25,plan_p75,index_used_runs,indexes_used,plan_shapes,shared_hit,top_rows,scan_plan_rows,rows_removed_filter,rows_removed_recheck,exact_heap_blocks,lossy_heap_blocks,rows_ok
1,B1,B1@G-0,B1,G-0,15,0.834,0.796,0.883,0.758,0.935,0.042,0.04,0.043,0,,Seq Scan on flat_geom,39,410,64,4590,0,0,0,True
1,B1,B1@G-1,B1,G-1,15,0.245,0.24,0.252,0.221,0.321,0.061,0.059,0.07,15,flat_geom_gist_idx,Bitmap Heap Scan on flat_geom_gist [Bitmap Index Scan using flat_geom_gist_idx],42,410,64,0,0,39,0,True
1,B1,B1@G-2,B1,G-2,15,0.253,0.234,0.275,0.219,0.299,0.065,0.057,0.07,15,flat_geom_spgist_idx,Bitmap Heap Scan on flat_geom_spgist [Bitmap Index Scan using flat_geom_spgist_idx],45,410,64,0,0,39,0,True
1,B1,B1@G-3,B1,G-3,15,0.884,0.852,0.899,0.757,0.967,0.072,0.06,0.086,0,,Seq Scan on flat_geom_brin,39,410,64,4590,0,0,0,True
1,B1,B1@J-0g,B1,J-0g,15,24.598,22.922,25.277,21.41,27.991,0.038,0.035,0.04,0,,Seq Scan on jsonb_doc,981,410,1,4590,0,0,0,True
1,B1,B1@J-1,B1,J-1,15,2.5,2.327,2.6,2.211,2.997,0.081,0.077,0.096,15,jsonb_doc_expr_geom_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx],342,410,64,0,0,339,0,True
1,B1,B1@J-3,B1,J-3,15,0.422,0.391,0.442,0.349,0.526,0.061,0.058,0.064,15,jsonb_geom_gist_idx,Bitmap Heap Scan on jsonb_geom_gist [Bitmap Index Scan using jsonb_geom_gist_idx],331,410,64,0,0,328,0,True
1,B1,B1@J-3c,B1,J-3c,15,1.501,1.396,1.617,1.34,1.785,0.044,0.042,0.052,0,,Seq Scan on jsonb_geom,879,410,64,4590,0,0,0,True
1,B1,B1@N-0,B1,N-0,15,0.569,0.516,0.616,0.504,0.669,0.063,0.059,0.064,0,,Seq Scan on flat_numeric,31,410,29,4590,0,0,0,True
1,B1,B1@N-1,B1,N-1,15,0.181,0.179,0.198,0.156,0.23,0.073,0.069,0.084,15,flat_numeric_btree_lat_lon_idx,Bitmap Heap Scan on flat_numeric_btree [Bitmap Index Scan using flat_numeric_btree_lat_lon_idx],35,410,29,0,0,31,0,True
1,B2,B2@G-0,B2,G-0,15,0.851,0.826,0.876,0.757,0.94,0.043,0.041,0.045,0,,Seq Scan on flat_geom,39,416,500,4584,0,0,0,True
1,B2,B2@G-1,B2,G-1,15,0.254,0.238,0.267,0.221,0.275,0.068,0.064,0.072,15,flat_geom_gist_idx,Bitmap Heap Scan on flat_geom_gist [Bitmap Index Scan using flat_geom_gist_idx],43,416,500,0,0,39,0,True
1,B2,B2@G-2,B2,G-2,15,0.279,0.253,0.295,0.237,0.307,0.07,0.064,0.075,15,flat_geom_spgist_idx,Bitmap Heap Scan on flat_geom_spgist [Bitmap Index Scan using flat_geom_spgist_idx],57,416,500,0,0,39,0,True
1,B2,B2@G-3,B2,G-3,15,0.921,0.893,0.938,0.75,0.989,0.079,0.066,0.093,0,,Seq Scan on flat_geom_brin,39,416,500,4584,0,0,0,True
1,B2,B2@J-0g,B2,J-0g,15,25.293,24.148,25.701,22.262,25.955,0.036,0.034,0.036,0,,Seq Scan on jsonb_doc,981,416,1,4584,0,0,0,True
1,B2,B2@J-1,B2,J-1,15,2.49,2.448,2.57,2.233,2.611,0.088,0.083,0.098,15,jsonb_doc_expr_geom_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx],336,416,500,0,0,332,0,True
1,B2,B2@J-3,B2,J-3,15,0.419,0.4,0.434,0.337,0.604,0.067,0.065,0.069,15,jsonb_geom_gist_idx,Bitmap Heap Scan on jsonb_geom_gist [Bitmap Index Scan using jsonb_geom_gist_idx],351,416,500,0,0,347,0,True
1,B2,B2@J-3c,B2,J-3c,15,1.502,1.468,1.529,1.322,1.687,0.045,0.044,0.048,0,,Seq Scan on jsonb_geom,879,416,500,4584,0,0,0,True
1,B2,B2@N-0,B2,N-0,15,0.614,0.549,0.642,0.544,1.266,0.064,0.062,0.069,0,,Seq Scan on flat_numeric,31,416,101,4584,0,0,0,True
1,B2,B2@N-1,B2,N-1,15,0.268,0.252,0.284,0.249,0.414,0.075,0.073,0.081,15,flat_numeric_btree_lat_lon_idx,Bitmap Heap Scan on flat_numeric_btree [Bitmap Index Scan using flat_numeric_btree_lat_lon_idx],37,416,101,0,0,31,0,True
1,B3,B3@G-0,B3,G-0,15,1.132,1.023,1.176,0.992,1.245,0.043,0.04,0.047,0,,Seq Scan on flat_geom,39,1580,1899,3420,0,0,0,True
1,B3,B3@G-1,B3,G-1,15,1.056,0.952,1.084,0.94,1.124,0.062,0.056,0.066,15,flat_geom_gist_idx,Index Scan using flat_geom_gist_idx,1556,1580,1899,0,0,0,0,True
1,B3,B3@G-2,B3,G-2,15,0.954,0.893,1.024,0.837,1.09,0.062,0.059,0.068,15,flat_geom_spgist_idx,Index Scan using flat_geom_spgist_idx,870,1580,1899,0,0,0,0,True
1,B3,B3@G-3,B3,G-3,15,1.15,1.089,1.212,0.995,1.264,0.069,0.062,0.078,0,,Seq Scan on flat_geom_brin,39,1580,1899,3420,0,0,0,True
