class,label,block,a,b,metric,a_median,a_p25,a_p75,b_median,b_p25,b_p75,ratio_b_over_a,measurable,faster,result,a_index_used,b_index_used,verdict,index
I,index vs control,B1,B1@N-1,B1@N-0,exec,0.181,0.179,0.198,0.569,0.516,0.616,3.143646408839779,True,B1@N-1,measurable: B1@N-1 faster,15/15,0/15,measurable benefit,flat_numeric_btree_lat_lon_idx
I,index vs control,B1,B1@G-1,B1@G-0,exec,0.245,0.24,0.252,0.834,0.796,0.883,3.404081632653061,True,B1@G-1,measurable: B1@G-1 faster,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,B1,B1@G-2,B1@G-0,exec,0.253,0.234,0.275,0.834,0.796,0.883,3.296442687747035,True,B1@G-2,measurable: B1@G-2 faster,15/15,0/15,measurable benefit,flat_geom_spgist_idx
I,index vs control,B1,B1@G-3,B1@G-0,exec,0.884,0.852,0.899,0.834,0.796,0.883,0.9434389140271493,False,,not measurable,0/15,0/15,index not used by the planner,flat_geom_brin_idx
I,index vs control,B1,B1@J-1,B1@J-0g,exec,2.5,2.327,2.6,24.598,22.922,25.277,9.8392,True,B1@J-1,measurable: B1@J-1 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B1,B1@J-3,B1@J-3c,exec,0.422,0.391,0.442,1.501,1.396,1.617,3.5568720379146916,True,B1@J-3,measurable: B1@J-3 faster,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
I,index vs control,B2,B2@N-1,B2@N-0,exec,0.268,0.252,0.284,0.614,0.549,0.642,2.291044776119403,True,B2@N-1,measurable: B2@N-1 faster,15/15,0/15,measurable benefit,flat_numeric_btree_lat_lon_idx
I,index vs control,B2,B2@G-1,B2@G-0,exec,0.254,0.238,0.267,0.851,0.826,0.876,3.3503937007874014,True,B2@G-1,measurable: B2@G-1 faster,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,B2,B2@G-2,B2@G-0,exec,0.279,0.253,0.295,0.851,0.826,0.876,3.050179211469534,True,B2@G-2,measurable: B2@G-2 faster,15/15,0/15,measurable benefit,flat_geom_spgist_idx
I,index vs control,B2,B2@G-3,B2@G-0,exec,0.921,0.893,0.938,0.851,0.826,0.876,0.9239956568946797,False,,not measurable,0/15,0/15,index not used by the planner,flat_geom_brin_idx
I,index vs control,B2,B2@J-1,B2@J-0g,exec,2.49,2.448,2.57,25.293,24.148,25.701,10.157831325301204,True,B2@J-1,measurable: B2@J-1 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B2,B2@J-3,B2@J-3c,exec,0.419,0.4,0.434,1.502,1.468,1.529,3.58472553699284,True,B2@J-3,measurable: B2@J-3 faster,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
I,index vs control,B3,B3@N-1,B3@N-0,exec,0.526,0.494,0.553,0.869,0.773,0.908,1.6520912547528517,True,B3@N-1,measurable: B3@N-1 faster,15/15,0/15,measurable benefit,flat_numeric_btree_lat_lon_idx
I,index vs control,B3,B3@G-1,B3@G-0,exec,1.056,0.952,1.084,1.132,1.023,1.176,1.0719696969696968,False,,not measurable,15/15,0/15,"index used, no measurable benefit",flat_geom_gist_idx
I,index vs control,B3,B3@G-2,B3@G-0,exec,0.954,0.893,1.024,1.132,1.023,1.176,1.1865828092243187,False,,not measurable,15/15,0/15,"index used, no measurable benefit",flat_geom_spgist_idx
I,index vs control,B3,B3@G-3,B3@G-0,exec,1.15,1.089,1.212,1.132,1.023,1.176,0.9843478260869565,False,,not measurable,0/15,0/15,index not used by the planner,flat_geom_brin_idx
I,index vs control,B3,B3@J-1,B3@J-0g,exec,8.877,8.738,9.711,25.076,23.906,26.511,2.824828207727836,True,B3@J-1,measurable: B3@J-1 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B3,B3@J-3,B3@J-3c,exec,1.325,1.242,1.4,1.799,1.688,1.885,1.3577358490566038,True,B3@J-3,measurable: B3@J-3 faster,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
I,index vs control,B4,B4@N-1,B4@N-0,exec,1.275,1.186,1.307,1.224,1.107,1.307,0.9600000000000001,False,,not measurable,0/15,0/15,index not used by the planner,flat_numeric_btree_lat_lon_idx
